,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1437.8506,779.0653,110376.875,249.61273,6011372000000000.0,332.23016,0.8206051588058472
1,1,1228.6929,541.1097,166338.64,314.45184,3.7582605e+16,407.84634,0.4386318325996399
2,2,1136.1868,438.52267,105719.48,247.5839,0.25476694,325.14532,0.45337235927581787
3,3,1190.477,537.69763,156655.72,300.75223,9499553000000000.0,395.79758,0.4588097333908081
4,4,1820.3535,665.6176,148431.2,301.65314,1.3476208e+16,385.2677,0.6703484058380127
5,5,1278.4106,728.68823,68603.266,198.10666,1.4390033e+16,261.92224,0.8762280344963074
6,6,480.45453,466.92416,128115.92,267.58237,3.4893816e+17,357.93283,0.4130028486251831
7,7,1132.4783,581.6971,106058.32,241.85127,6827985000000000.0,325.66595,0.6912496089935303
8,8,1298.2285,708.28845,114336.16,262.70956,1.5332063e+17,338.1363,0.77274489402771
9,Average,1222.5703,605.29016,122737.28,264.92264,6.5560726e+16,347.7716,0.621665875116984
10,Standard Deviation,329.9688,113.46756,28794.848,34.366795,1.09825776e+17,42.334347,0.17201486888968234
