,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1363.3455,784.4655,98349.16,234.89093,4288639500000000.0,313.6067,0.840219259262085
1,1,1149.2397,511.75305,149833.69,296.57498,5.063532e+16,387.08356,0.4348268508911133
2,2,1103.2482,462.70746,103816.15,243.4517,0.2565637,322.20514,0.5210641026496887
3,3,1105.252,530.36554,132055.31,272.46628,1.427364e+16,363.39417,0.5330355763435364
4,4,1730.3748,691.2465,151270.27,301.39487,2.8524497e+16,388.93478,0.6837686896324158
5,5,1225.2919,736.2161,76568.484,206.48828,4320862500000000.0,276.7101,0.8590680360794067
6,6,445.75052,470.58997,140294.7,270.32785,3.3677426e+17,374.55936,0.378700315952301
7,7,1075.9386,603.3736,113587.06,244.80815,1.2310744e+16,337.0268,0.6886500120162964
8,8,1263.7129,717.31635,122529.39,275.6403,1.5859538e+17,350.042,0.7695772051811218
9,Average,1162.4614,612.0038,120922.695,260.6715,6.7747036e+16,345.9514,0.6343233386675516
10,Standard Deviation,317.13898,116.24622,23762.523,28.968384,1.0595198e+17,35.2182,0.1649316327807237
