,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1496.9319,793.7182,120898.86,261.5559,2156071000000000.0,347.70514,0.8081734776496887
1,1,1247.1808,546.8277,168705.72,316.05313,3.397829e+16,410.738,0.43854862451553345
2,2,1111.2839,441.72824,109627.89,250.4154,2318545500000000.0,331.101,0.4453318119049072
3,3,1175.6112,542.1694,152355.4,298.38092,1.5706951e+16,390.3273,0.4817434549331665
4,4,1849.6327,701.9749,158618.88,309.5582,1.9163916e+16,398.26987,0.6789312362670898
5,5,1331.895,736.14636,89513.445,213.5872,1.4365457e+16,299.188,0.8355015516281128
6,6,488.04123,473.0663,133926.31,271.0744,3.4460203e+17,365.95944,0.40263038873672485
7,7,1128.3558,584.12195,101455.64,239.28412,7675905000000000.0,318.52103,0.7075915336608887
8,8,1322.9302,716.7942,121169.5,273.63055,1.40532945e+17,348.0941,0.76692134141922
9,Average,1239.096,615.1719,128474.625,270.3933,6.450001e+16,356.65598,0.6183748245239258
10,Standard Deviation,341.83368,118.14142,25475.88,31.771563,1.0703145e+17,35.652985,0.16477440853772005
