,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1474.806,756.001,121613.7,258.60336,985822700000000.0,348.73157,0.7875319123268127
1,1,1246.5269,571.82306,199970.53,341.63016,7.9252695e+16,447.18063,0.3953516483306885
2,2,1164.1204,443.17404,117081.805,259.70953,1404989000000000.0,342.17218,0.40615004301071167
3,3,1231.9274,538.44836,159833.44,302.85767,2.0846957e+16,399.79175,0.4501834511756897
4,4,1866.9067,673.055,159777.56,308.3341,1.6124506e+16,399.72186,0.6484652161598206
5,5,1338.8813,777.4835,138029.28,232.0416,1529695400000000.0,371.52292,0.7720178365707397
6,6,461.1051,459.43448,129756.59,273.94427,4.1298505e+17,360.21744,0.38633090257644653
7,7,1123.7876,530.0806,105162.875,244.44112,2075637700000000.0,324.28827,0.6340639591217041
8,8,1300.0233,687.88586,117420.82,264.8816,5.895429e+16,342.6672,0.7525963187217712
9,Average,1245.3428,604.154,138738.52,276.2715,6.601774e+16,370.69934,0.5814101431104872
10,Standard Deviation,347.58173,116.69841,28012.328,32.825554,1.2551776e+17,36.339115,0.16193318627820746
