,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1521.8842,768.29944,137714.27,276.43173,5928753500000000.0,371.09872,0.7698649764060974
1,1,1282.4238,550.58435,179379.7,328.00983,3.0469136e+16,423.5324,0.4088074564933777
2,2,1147.2064,443.27185,114864.4,256.62473,3064410000000000.0,338.9165,0.41564029455184937
3,3,1129.2291,514.7746,158083.73,303.03644,8214768700000000.0,397.59744,0.4054874777793884
4,4,1871.8838,694.4047,157651.14,307.4996,2.02941e+16,397.05307,0.6735315322875977
5,5,1354.0795,725.621,83520.75,213.18883,3136454600000000.0,288.99957,0.8449331521987915
6,6,511.6006,483.86554,136536.83,271.95294,2.9355253e+17,369.5089,0.42478495836257935
7,7,1144.897,583.30963,125080.93,254.97685,1.5795051e+16,353.66782,0.6333935856819153
8,8,1351.9331,709.55133,120642.08,271.54016,1.2127034e+17,347.3357,0.76042640209198
9,Average,1257.2377,608.1869,134830.44,275.91785,5.5747284e+16,365.30115,0.592985537317064
10,Standard Deviation,343.81775,111.778854,26635.512,32.019485,9.105634e+16,37.222458,0.1698825428119971
