,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1437.8506,779.0653,109560.94,246.69283,4950384700000000.0,330.9999,0.819756031036377
1,1,1228.6929,541.1097,166838.88,314.57288,3.560501e+16,408.45914,0.4326409697532654
2,2,1136.1868,438.52267,105043.89,245.92746,0.24784496,324.10477,0.4538169503211975
3,3,1190.477,537.69763,158808.92,303.14798,9695126000000000.0,398.50836,0.45742470026016235
4,4,1820.3535,665.6176,147475.08,298.44772,1.1675425e+16,384.02484,0.671436071395874
5,5,1278.4106,728.68823,67149.016,192.4365,1.2721207e+16,259.13126,0.8743773698806763
6,6,480.45453,466.92416,129477.03,263.48682,3.1233682e+17,359.82916,0.4094988703727722
7,7,1132.4783,581.6971,106402.06,238.97816,5168542000000000.0,326.1933,0.6860173940658569
8,8,1298.2285,708.28845,113505.414,259.6144,1.3773596e+17,336.90564,0.7737557888031006
9,Average,1222.5703,605.29016,122695.695,262.58942,5.8876494e+16,347.57297,0.6198582384321425
10,Standard Deviation,329.9688,113.46756,29500.047,35.981472,9.834101e+16,43.459732,0.1727929434006269
