,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1363.3455,784.4655,105618.68,243.66428,3030208100000000.0,324.99026,0.8307704925537109
1,1,1149.2397,511.75305,146266.48,292.37653,4.6272242e+16,382.44803,0.44347089529037476
2,2,1103.2482,462.70746,107738.94,246.78876,0.25755888,328.2361,0.5142884254455566
3,3,1105.252,530.36554,137858.08,280.47308,1.43215e+16,371.29245,0.5182790756225586
4,4,1730.3748,691.2465,154198.22,304.34283,2.7667857e+16,392.68082,0.6778497695922852
5,5,1225.2919,736.2161,86472.23,212.62198,3799766400000000.0,294.0616,0.8508687615394592
6,6,445.75052,470.58997,143546.11,271.88266,3.1686544e+17,378.8748,0.3741080164909363
7,7,1075.9386,603.3736,111706.18,239.44965,9141761000000000.0,334.22473,0.696780264377594
8,8,1263.7129,717.31635,117420.29,267.30188,1.4968396e+17,342.66644,0.7744443416595459
9,Average,1162.4614,612.0038,123425.016,262.10016,6.3420303e+16,349.94168,0.6312066713968912
10,Standard Deviation,317.13898,116.24622,21561.049,27.278154,9.990479e+16,31.077883,0.16426151762659347
