,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1496.9319,793.7182,122585.76,263.55978,1542735500000000.0,350.1225,0.807334303855896
1,1,1247.1808,546.8277,167162.55,315.03976,3.2132113e+16,408.85516,0.4412155747413635
2,2,1111.2839,441.72824,109143.016,248.23103,2433046600000000.0,330.368,0.44082462787628174
3,3,1175.6112,542.1694,155600.3,302.12173,1.4985865e+16,394.46204,0.4752575755119324
4,4,1849.6327,701.9749,156850.22,307.96378,1.857133e+16,396.0432,0.6830645799636841
5,5,1331.895,736.14636,96772.695,217.50645,1.3410009e+16,311.0831,0.8276863694190979
6,6,488.04123,473.0663,134252.92,267.94916,3.090482e+17,366.4054,0.4045770764350891
7,7,1128.3558,584.12195,98577.07,231.87157,6183968500000000.0,313.96985,0.7122336626052856
8,8,1322.9302,716.7942,122274.445,270.3465,1.2329535e+17,349.67764,0.7623682022094727
9,Average,1239.096,615.1719,129246.555,269.39886,5.795584e+16,357.88745,0.6171735525131226
10,Standard Deviation,341.83368,118.14142,24520.889,32.019825,9.563294e+16,34.104813,0.16409138886395142
