,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1474.806,756.001,120782.98,257.14383,834539800000000.0,347.53845,0.7890385389328003
1,1,1246.5269,571.82306,204991.73,344.72168,8.296654e+16,452.76013,0.37547767162323
2,2,1164.1204,443.17404,116736.734,257.70673,1174977800000000.0,341.66757,0.4057953357696533
3,3,1231.9274,538.44836,163192.6,306.67865,2.037658e+16,403.97104,0.44557493925094604
4,4,1866.9067,673.055,161779.78,309.1223,1.5924088e+16,402.21857,0.6449489593505859
5,5,1338.8813,777.4835,143511.73,228.52684,1256875500000000.0,378.82944,0.7691765427589417
6,6,461.1051,459.43448,130652.32,266.7683,3.4876622e+17,361.4586,0.38118547201156616
7,7,1123.7876,530.0806,106870.26,242.3602,1425760400000000.0,326.91016,0.6197527647018433
8,8,1300.0233,687.88586,118535.67,263.53787,5.356008e+16,344.2901,0.7495104074478149
9,Average,1245.3428,604.154,140783.73,275.17404,5.847618e+16,373.2938,0.5756067368719313
10,Standard Deviation,347.58173,116.69841,29437.57,35.07272,1.0608659e+17,37.888084,0.16452543114376494
