,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV,FRAC_IN_1,FRAC_IN_2,FRAC_IN_3
0,0,583.85004,302.56003,47957.773,160.39513,5427058400000000,218.99263,0.51434338092804,0.7081,0.9326,0.9794
1,1,386.5515,378.83817,126660.77,270.98978,2.4592143E+017,355.89432,0.14582234621048,0.6151,0.8939,0.9693
2,2,828.27826,380.10745,107955.84,261.60196,4.440247E+016,328.56635,0.415381193161011,0.5462,0.8778,0.9770
3,3,663.86523,346.54477,34879.64,134.69194,1326968500000000,186.76093,0.709999322891235,0.7877,0.9761,0.9973
4,4,240.7999,152.5243,8152.842,65.47815,1.6043723E+016,90.29309,0.654636740684509,0.7841,0.9764,0.9946
5,5,1306.2788,796.6915,138298.45,290.78903,8.985424E+016,371.885,0.801662385463715,0.6929,0.9401,0.9919
6,6,2141.7234,1192.0842,171577.2,320.62183,2107202100000000,414.21878,0.879750728607178,0.7114,0.9720,0.9994
7,7,1013.7621,483.0594,58577.043,181.55544,1080221000000000,242.02695,0.749331593513489,0.7260,0.9603,0.9934
8,8,1704.5146,791.31885,144978.03,298.18378,2.935391E+016,380.7598,0.780884385108948,0.6911,0.9565,0.9952
9,9,1132.4783,581.6971,109516.65,239.97176,4477666600000000,330.93298,0.69601321220398,0.6953,0.9341,0.9878
10,10,1298.2285,708.28845,117491.27,269.11166,1.2807055E+017,342.77,0.77705180644989,0.6616,0.9457,0.9934
11,Average,1027.3029,555.79224,96913.23,226.67186,5.1642313E+016,296.64554,0.647716099565679,0.6927,0.9423,0.9890
12,Standard Deviation,544.4363,282.89142,49340.84,76.327995,7.309053E+016,94.417465,0.202765334744513,0.6927,0.9423,0.9890
