,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV,FRAC_IN_1,FRAC_IN_2,FRAC_IN_3
0,0,572.31683,288.8372,45763.473,160.42725,63937.367,213.92398,0.473566055297852,0.7078,0.9344,0.9869
1,1,129.8004,174.69061,30800.676,129.9809,935876,175.5012,0.010335028171539,0.9189,0.9747,0.9928
2,2,771.73584,366.55313,90629.875,239.37846,158231.31,301.04797,0.403169393539429,0.5814,0.9067,0.9845
3,3,688.9552,362.65802,64172.527,171.54349,11093.503,253.32297,0.517184257507324,0.7290,0.9481,0.9830
4,4,249.64081,162.02747,9956.314,72.242836,56317.996,99.781334,0.635912001132965,0.7424,0.9657,0.9949
5,5,1267.6576,769.00885,130636.266,284.20978,322942.4,361.4364,0.793644487857819,0.6896,0.9535,0.9934
6,6,2278.973,1072.4904,212894.88,357.10635,5402.7383,461.40533,0.814955651760101,0.6804,0.9431,0.9863
7,7,1056.638,475.34787,61068.61,187.46243,11040.842,247.12064,0.732463121414185,0.7099,0.9457,0.9902
8,8,1606.8196,737.0188,146054.95,300.42636,117133.3,382.17136,0.731314539909363,0.6899,0.9571,0.9964
9,9,1123.7876,530.0806,109156.39,245.83624,4669.6284,330.38824,0.627277374267578,0.6741,0.9442,0.9925
10,10,1300.0233,687.88586,123709.98,273.56082,187335.94,351.7243,0.749532461166382,0.6786,0.9472,0.9931
11,Average,1004.21344,511.50897,93167.63,220.19771,170361.9,288.8931,0.589941306547685,0.7093,0.9473,0.9904
12,Standard Deviation,590.53485,268.49036,56134.96,79.88177,259774.11,98.53136,0.223823367150308,0.7093,0.9473,0.9904
