,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV,FRAC_IN
0,0,570.9711,294.76147,44628.438,156.07173,5733193500000000.0,211.25444,0.5261046886444092,0.7257006559332141
1,1,265.3799,303.19467,89475.164,215.25183,2.4218884e+17,299.124,0.04651057720184326,0.7331544424567681
2,2,814.2405,369.27686,102116.17,253.69398,3.752889e+16,319.5562,0.4272071123123169,0.5667859272510435
3,3,681.59076,357.56073,38763.555,141.8726,1826491800000000.0,196.88463,0.7004729509353638,0.7832438878950507
4,4,256.20615,161.10178,11257.164,77.0547,1.9275105e+16,106.099785,0.6130903959274292,0.7304710793082886
5,5,1336.924,803.45447,149034.78,294.47687,8.913393e+16,386.05023,0.7895821928977966,0.7072152653548003
6,6,2140.0085,1196.3479,187077.02,340.68158,505740350000000.0,432.52402,0.8708287477493286,0.6839594514013119
7,7,1004.2895,485.74057,61930.17,187.05815,1967282400000000.0,248.85773,0.7381365895271301,0.7185450208706022
8,8,1694.6537,796.64056,151908.22,305.603,3.3387671e+16,389.75406,0.7712944746017456,0.6896243291592129
9,9,1128.3558,584.12195,104960.31,235.53102,5973802000000000.0,323.9758,0.7123411893844604,0.714370900417412
10,10,1322.9302,716.7942,127756.305,281.2739,1.1582321e+17,357.43015,0.7696508765220642,0.6496720333929636
11,Average,1019.59534,551.7268,97173.38,226.23358,5.0304014e+16,297.41013,0.6332017996094443,0.7002493630400607
12,Standard Deviation,558.0068,289.65692,51912.67,76.20192,7.0807406e+16,93.38431,0.2213437790352704,0.7002493630400607
