,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV,FRAC_IN
0,0,572.31683,288.8372,45763.473,160.43,63940,213.92,0.473566055297852,0.7078
1,1,129.8004,174.69061,30800.676,129.98,935900,175.5,0.010335028171539,0.9189
2,2,771.73584,366.55313,90629.875,239.38,158200,301.05,0.403169393539429,0.5814
3,3,688.9552,362.65802,64172.527,171.54,11090,253.32,0.517184257507324,0.7290
4,4,249.64081,162.02747,9956.314,72.24,56320,99.78,0.635912001132965,0.7424
5,5,1267.6576,769.00885,130636.266,284.21,322900,361.44,0.793644487857819,0.6896
6,6,2278.973,1072.4904,212894.88,357.11,5403,461.41,0.814955651760101,0.6804
7,7,1056.638,475.34787,61068.61,187.46,11040,247.12,0.732463121414185,0.7099
8,8,1606.8196,737.0188,146054.95,300.43,117100,382.17,0.731314539909363,0.6899
9,9,1123.7876,530.0806,109156.39,245.84,4670,330.39,0.627277374267578,0.6741
10,10,1300.0233,687.88586,123709.98,273.56,187300,351.72,0.749532461166382,0.6786
11,Average,1004.21344,511.50897,93167.63,220.2,170400,288.89,0.589941306547685,0.7093
12,Standard Deviation,590.53485,268.49036,56134.96,79.88,259800,98.53,0.223823367150308,0.7093
