,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,586.2245,302.10443,47446.11,163.96,9.288E+15,217.82,0.480557918548584
1,1,443.9609,325.32227,77561.2,217.16,1.731E+17,278.50,0.274429500102997
2,2,784.5025,354.2095,75203.266,215.60,4.893E+16,274.23,0.401474118232727
3,3,729.13776,384.85095,61602.82,169.41,9.022E+14,248.20,0.584817290306091
4,4,274.19473,166.39223,12172.455,81.48,2.354E+16,110.33,0.57431161403656
5,5,1341.9609,800.09467,151887.7,304.88,1.257E+17,389.73,0.769474387168884
6,6,2369.319,1143.4784,237768.45,386.14,1.405E+15,487.62,0.829712092876434
7,7,1079.7225,502.33392,68299.15,202.47,4.338E+15,261.34,0.729386806488037
8,8,1723.888,797.3515,160417.31,311.74,4.508E+16,400.52,0.752774000167847
9,9,1144.897,583.30963,130493.69,267.02,1.856E+16,361.24,0.616791844367981
10,10,1351.9331,709.55133,123717.93,277.62,1.744E+17,351.74,0.755483329296112
11,Average,1075.4312,551.7271,104233.63,236.13,5.684E+16,307.39,0.615382991053841
12,Standard Deviation,582.4395,274.59845,60821.07,80.40,6.472E+16,98.73,0.166239033901748
