,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,583.85004,302.56003,46821.125,162.08,6.734E+15,216.38,0.492568969726563
1,1,386.5515,378.83817,122472.25,271.03,2.791E+17,349.96,0.151290118694305
2,2,828.27826,380.10745,84985.92,230.53,5.240E+16,291.52,0.423694550991058
3,3,663.86523,346.54477,35251.34,136.70,1.726E+15,187.75,0.708550810813904
4,4,240.7999,152.5243,8670.526,68.66,1.949E+16,93.12,0.627293229103088
5,5,1306.2788,796.6915,132004.48,287.59,1.386E+17,363.32,0.795018672943115
6,6,2141.7234,1192.0842,214091.8,367.26,2.796E+15,462.70,0.850195407867431
7,7,1013.7621,483.0594,61012.58,190.84,1.517E+15,247.01,0.741043090820313
8,8,1704.5146,791.31885,150443.84,305.37,3.589E+16,387.87,0.769669115543366
9,9,1132.4783,581.6971,112354.195,248.81,7.026E+15,335.19,0.668204247951508
10,10,1298.2285,708.28845,122306.46,273.35,2.139E+17,349.72,0.759000480175018
11,Average,1027.3029,555.79224,99128.59,231.11,6.901E+16,298.60,0.635138972239061
12,Standard Deviation,544.4363,282.89142,56278.168,81.25,9.292E+16,99.85,0.195902418263565
