,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,538.0809,285.1209,42649.95,153.93,6.579E+15,206.52,0.488280355930328
1,1,215.14949,267.1936,68971.22,193.94,2.835E+17,262.62,0.033917307853699
2,2,773.431,379.25873,87813.42,233.35,6.105E+16,296.33,0.415112793445587
3,3,654.8826,351.61862,39143.996,144.29,2.915E+15,197.85,0.690214514732361
4,4,231.79648,154.87016,10028.922,71.90,1.669E+16,100.14,0.617622673511505
5,5,1245.8862,785.25336,143029.8,295.34,1.598E+17,378.19,0.774797081947327
6,6,2003.9985,1158.6085,248693.58,386.82,1.843E+15,498.69,0.82022225856781
7,7,936.1597,466.99454,69077.12,200.10,9.222E+15,262.83,0.683320164680481
8,8,1623.7529,812.9235,184356.11,335.57,5.532E+16,429.37,0.742092728614807
9,9,1075.9386,603.3736,130151.27,266.64,1.404E+16,360.76,0.646958827972412
10,10,1263.7129,717.3163,130433.734,286.83,2.240E+17,361.16,0.74662458896637
11,Average,960.25354,543.8665,104940.83,233.52,7.590E+16,304.95,0.60537848147479
12,Standard Deviation,531.67706,287.14465,67284.25,87.79,9.540E+16,109.30,0.214292395608348
