,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,572.31683,288.8372,44109.758,160.51,6.195E+04,210.02,0.471784055233002
1,1,129.8004,174.69061,36826.766,156.59,1.269E+06,191.90,0.002169370651245
2,2,771.73584,366.55313,78994.63,223.04,1.817E+05,281.06,0.415017247200012
3,3,688.9552,362.65802,63211.02,173.32,1.055E+04,251.42,0.519588112831116
4,4,249.64081,162.02747,10741.843,75.74,6.831E+04,103.64,0.592541635036469
5,5,1267.6576,769.00885,127013.14,284.76,5.112E+05,356.39,0.786288440227508
6,6,2278.973,1072.4904,242492.1,381.53,7.344E+03,492.43,0.796982645988464
7,7,1056.638,475.34787,60461.008,192.27,9.212E+03,245.89,0.732460796833038
8,8,1606.8196,737.0188,148885.88,305.12,1.483E+05,385.86,0.725908279418945
9,9,1123.7876,530.0806,105531.7,247.57,8.431E+03,324.86,0.624436497688293
10,10,1300.0233,687.88586,127172.83,278.08,2.891E+05,356.61,0.735618591308594
11,Average,1004.21344,511.50897,95040.055,225.32,2.332E+05,290.92,0.582072333856063
12,Standard Deviation,590.53485,268.49036,62056.77,81.29,3.594E+05,102.02,0.220935931109433
