,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,586.2245,302.10443,45537.535,162.74887,8307519000000000.0,213.39525,0.5061862468719482
1,1,443.9609,325.32227,80557.62,218.8375,1.6061156e+17,283.82675,0.26142334938049316
2,2,784.5025,354.2095,74543.64,214.01633,4.98183e+16,273.02682,0.40882378816604614
3,3,729.13776,384.85095,62591.438,169.02692,897497840000000.0,250.18282,0.588309645652771
4,4,274.19473,166.39223,14530.067,91.5046,1.4765037e+16,120.540726,0.5928034782409668
5,5,1341.9609,800.09467,138490.44,288.50305,1.0901995e+17,372.14304,0.7836902141571045
6,6,2369.319,1143.4784,190185.0,342.279,1345760800000000.0,436.10205,0.8546894788742065
7,7,1079.7225,502.33392,64853.008,192.71594,3485911200000000.0,254.66254,0.7474069595336914
8,8,1723.888,797.3515,151158.45,303.34744,4.410862e+16,388.79102,0.7626736164093018
9,9,1144.897,583.30963,120061.19,249.49396,1.591255e+16,346.49847,0.6490334272384644
10,10,1351.9331,709.55133,117726.38,267.82867,1.5536304e+17,343.1128,0.7688136696815491
11,Average,1075.4312,551.7271,96384.98,227.3002,5.1239617e+16,298.38928,0.6294412612915039
12,Standard Deviation,582.4395,274.59845,49301.457,68.97395,5.87143e+16,85.7252,0.17276888794264844
