,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,583.85004,302.56003,44015.742,157.87354,5470301000000000.0,209.79929,0.5197622776031494
1,1,386.5515,378.83817,124496.03,268.72437,2.4808796e+17,352.83997,0.15660440921783447
2,2,828.27826,380.10745,84425.78,229.30031,5.3430033e+16,290.56116,0.42564940452575684
3,3,663.86523,346.54477,34547.047,133.81488,1474389400000000.0,185.86836,0.7125081419944763
4,4,240.7999,152.5243,10908.126,78.23666,8258871500000000.0,104.44197,0.624570369720459
5,5,1306.2788,796.6915,120539.98,273.66306,1.1555126e+17,347.1887,0.8101416230201721
6,6,2141.7234,1192.0842,168484.6,329.03677,2599140500000000.0,410.46875,0.884945273399353
7,7,1013.7621,483.0594,56329.92,178.28165,1165334000000000.0,237.33925,0.758734405040741
8,8,1704.5146,791.31885,138169.2,294.4525,3.7052674e+16,371.71118,0.7852758765220642
9,9,1132.4783,581.6971,100410.4,231.04187,5629379000000000.0,316.876,0.7053282260894775
10,10,1298.2285,708.28845,113758.09,262.5744,1.8035222e+17,337.28043,0.7797232866287231
11,Average,1027.3029,555.79224,90553.17,221.54546,5.99156e+16,287.67047,0.6512039357965643
12,Standard Deviation,544.4363,282.89142,46595.043,72.49172,8.107559e+16,88.31129,0.20138812619258237
