,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,538.0809,285.1209,40422.477,151.75,6.208E+15,201.05,0.508517742156982
1,1,215.14949,267.1936,71818.07,187.29,2.240E+17,267.99,0.020356774330139
2,2,773.431,379.25873,86452.086,230.12,6.288E+16,294.03,0.423474907875061
3,3,654.8826,351.61862,40587.586,146.66,2.639E+15,201.46,0.689815163612366
4,4,231.79648,154.87016,12988.718,87.89,8.027E+15,113.97,0.6405308842659
5,5,1245.8862,785.25336,131287.34,280.12,1.433E+17,362.34,0.787882149219513
6,6,2003.9985,1158.6085,184658.03,342.51,1.848E+15,429.72,0.864201366901398
7,7,936.1597,466.99454,66048.73,193.41,9.340E+15,257.00,0.697192847728729
8,8,1623.7529,812.9235,163676.03,318.69,6.047E+16,404.57,0.762712895870209
9,9,1075.9386,603.3736,120079.04,253.64,1.189E+16,346.52,0.677943289279938
10,10,1263.7129,717.3163,120872.5,272.43,2.184E+17,347.67,0.765127420425415
11,Average,960.25354,543.8665,94444.59,224.05,6.809E+16,293.30,0.621614131060514
12,Standard Deviation,531.67706,287.14465,51769.24,74.73,8.277E+16,91.75,0.224510222758228
