,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,570.9711,294.76147,41078.65,153.94,6.050E+15,202.68,0.527884781360626
1,1,265.3799,303.19467,89404.39,215.52,2.473E+17,299.01,0.044630408287048
2,2,814.2405,369.27686,78104.81,220.61,4.605E+16,279.47,0.440112173557282
3,3,681.59076,357.56073,38625.258,142.79,1.996E+15,196.53,0.700507164001465
4,4,256.20615,161.10178,14783.632,92.94,1.340E+16,121.59,0.594218134880066
5,5,1336.924,803.45447,132051.08,276.90,1.175E+17,363.39,0.7956503033638
6,6,2140.0085,1196.3479,182206.86,346.40,7.606E+14,426.86,0.877369582653046
7,7,1004.2895,485.74057,60654.348,185.67,2.162E+15,246.28,0.743035018444061
8,8,1694.6537,796.64056,142261.67,296.76,3.999E+16,377.18,0.780064940452576
9,9,1128.3558,584.12195,95158.08,227.90,6.910E+15,308.48,0.722908675670624
10,10,1322.9302,716.7942,117743.914,269.37,1.667E+17,343.14,0.77253258228302
11,Average,1019.59534,551.7268,90188.43,220.80,5.898E+16,287.69,0.636264887723056
12,Standard Deviation,558.0068,289.65692,48138.816,70.88,7.889E+16,86.15,0.223166880619406
