,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,572.31683,288.8372,43869.805,160.48,6.591E+04,209.45,0.475700616836548
1,1,129.8004,174.69061,31710.016,134.92,1.002E+06,178.07,0.000231564044952
2,2,771.73584,366.55313,78452.5,221.72,1.917E+05,280.09,0.41675591468811
3,3,688.9552,362.65802,64636.586,171.52,1.064E+04,254.24,0.514678239822388
4,4,249.64081,162.02747,12921.745,84.73,3.315E+04,113.67,0.614627003669739
5,5,1267.6576,769.00885,118697.484,271.32,4.196E+05,344.53,0.800110757350922
6,6,2278.973,1072.4904,193786.39,341.06,6.391E+03,440.21,0.831713199615479
7,7,1056.638,475.34787,59984.773,187.12,9.975E+03,244.92,0.736629962921143
8,8,1606.8196,737.0188,145190.72,300.26,1.361E+05,381.04,0.734297156333923
9,9,1123.7876,530.0806,100017.34,236.03,6.246E+03,316.26,0.644570589065552
10,10,1300.0233,687.88586,116358.85,262.24,2.476E+05,341.11,0.757607579231262
11,Average,1004.21344,511.50897,87784.2,215.58,1.936E+05,282.14,0.593356598507274
12,Standard Deviation,590.53485,268.49036,50924.76,72.66,2.845E+05,90.44,0.228239240330883
