,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,583.85004,302.56003,55021.184,188.80992,1.1803629e+16,234.56595,0.43478846549987793
1,1,386.5515,378.83817,121428.97,277.84775,3.2531508e+17,348.46658,0.1570034623146057
2,2,828.27826,380.10745,87180.48,234.96333,6.976457e+16,295.2634,0.3979775905609131
3,3,663.86523,346.54477,40193.273,154.14427,2243892800000000.0,200.4826,0.6828086972236633
4,4,240.7999,152.5243,13561.7,94.58785,3.332011e+16,116.45471,0.5851739645004272
5,5,1306.2788,796.6915,145294.95,308.24265,2.2855772e+17,381.17575,0.7766910791397095
6,6,2141.7234,1192.0842,216829.44,377.56015,3174952000000000.0,465.64948,0.8474639058113098
7,7,1013.7621,483.0594,61560.156,192.2485,1582126000000000.0,248.11319,0.742184042930603
8,8,1704.5146,791.31885,142925.14,300.3859,4.438062e+16,378.0544,0.7726057767868042
9,9,1132.4783,581.6971,109979.72,249.50478,7663026400000000.0,331.6319,0.6749892830848694
10,10,1298.2285,708.28845,119894.3,270.18823,1.7846924e+17,346.25757,0.7610647678375244
11,Average,1027.3029,555.79224,101260.84,240.77122,8.238863e+16,304.19235,0.6211591850627552
12,Standard Deviation,544.4363,282.89142,54932.92,75.73626,1.0592265e+17,93.4231,0.20012235740413042
