,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,538.0809,285.1209,48762.11,178.22223,1.1489217e+16,220.82144,0.43382883071899414
1,1,215.14949,267.1936,70860.87,205.42554,3.350708e+17,266.19705,0.020886003971099854
2,2,773.431,379.25873,88081.305,234.44043,8.233285e+16,296.78494,0.389076828956604
3,3,654.8826,351.61862,43024.125,155.56712,3731390300000000.0,207.42258,0.6522856950759888
4,4,231.79648,154.87016,10791.434,80.984535,3.4501442e+16,103.88183,0.5846350193023682
5,5,1245.8862,785.25336,159423.56,321.29285,2.8384099e+17,399.2788,0.7460974454879761
6,6,2003.9985,1158.6085,238088.7,389.02655,2137957400000000.0,487.94333,0.8228741884231567
7,7,936.1597,466.99454,68606.69,200.23927,9799767000000000.0,261.92877,0.6864911913871765
8,8,1623.7529,812.9235,170294.83,323.08383,6.5049904e+16,412.66794,0.7483010292053223
9,9,1075.9386,603.3736,118203.63,253.84456,1.4477682e+16,343.80756,0.6761630773544312
10,10,1263.7129,717.3163,132455.0,284.43234,1.999012e+17,363.94366,0.746196448802948
11,Average,960.25354,543.8665,104417.48,238.77809,9.475756e+16,305.87982,0.591530523516915
12,Standard Deviation,531.67706,287.14465,63616.38,83.61622,1.154778e+17,104.187416,0.2210143539269747
