,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,570.9711,294.76147,50021.723,181.44447,1.2323114e+16,223.65536,0.46257710456848145
1,1,265.3799,303.19467,87593.37,232.12332,3.4393603e+17,295.96176,0.06477797031402588
2,2,814.2405,369.27686,80252.17,225.72719,6.3181735e+16,283.28815,0.41422325372695923
3,3,681.59076,357.56073,43504.277,160.03949,3046638800000000.0,208.5768,0.6642409563064575
4,4,256.20615,161.10178,12996.928,89.420334,3.5551654e+16,114.00407,0.5628061294555664
5,5,1336.924,803.45447,150844.02,308.27988,2.3892157e+17,388.3864,0.7726335525512695
6,6,2140.0085,1196.3479,233607.9,397.5448,1007807300000000.0,483.33002,0.8368660807609558
7,7,1004.2895,485.74057,65192.67,199.21098,2121219900000000.0,255.32855,0.7278279662132263
8,8,1694.6537,796.64056,148356.42,303.0764,4.9753966e+16,385.17065,0.7667579650878906
9,9,1128.3558,584.12195,104774.01,244.88045,8225382000000000.0,323.68814,0.6929247975349426
10,10,1322.9302,716.7942,128372.4,282.37167,1.623592e+17,358.29095,0.7516574859619141
11,Average,1019.59534,551.7268,100501.445,238.55626,8.36753e+16,301.78918,0.6106630238619718
12,Standard Deviation,558.0068,289.65692,59248.42,79.59188,1.0982819e+17,97.081116,0.2144361229142602
