,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,572.31683,288.8372,51472.105,180.99104,81185.305,226.87465,0.4182748794555664
1,1,129.8004,174.69061,43673.18,179.185,1509260.6,208.9813,0.005106449127197266
2,2,771.73584,366.55313,84514.64,234.02509,227945.75,290.71402,0.3899345397949219
3,3,688.9552,362.65802,64774.43,178.80124,11091.455,254.50821,0.5101050138473511
4,4,249.64081,162.02747,13930.232,94.99677,108277.06,118.026405,0.5770171880722046
5,5,1267.6576,769.00885,142182.3,305.68686,780963.94,377.07068,0.7728159427642822
6,6,2278.973,1072.4904,234046.3,379.0219,8009.0557,483.78333,0.7989845871925354
7,7,1056.638,475.34787,62307.637,193.54967,10868.731,249.61497,0.7262159585952759
8,8,1606.8196,737.0188,149247.66,308.46378,159533.17,386.32584,0.7283135652542114
9,9,1123.7876,530.0806,104858.016,246.30508,8451.842,323.81787,0.6271437406539917
10,10,1300.0233,687.88586,124313.82,273.81497,255166.02,352.58167,0.7373257875442505
11,Average,1004.21344,511.50897,97756.4,234.0765,287341.2,297.48172,0.571930695663799
12,Standard Deviation,590.53485,268.49036,59214.176,75.84162,441152.38,96.23419,0.22410278436871264
