,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,586.2245,302.10443,48175.223,172.1472,1.1523601e+16,219.48854,0.4848554730415344
1,1,443.9609,325.32227,78332.664,218.93976,1.6945416e+17,279.87973,0.28005504608154297
2,2,784.5025,354.2095,76676.086,217.32127,5.386339e+16,276.90448,0.39168041944503784
3,3,729.13776,384.85095,66168.625,186.06337,916383900000000.0,257.23264,0.5649365186691284
4,4,274.19473,166.39223,13146.65,89.79519,3.357834e+16,114.658844,0.5776837468147278
5,5,1341.9609,800.09467,146369.58,299.1234,1.3691673e+17,382.58276,0.7718517780303955
6,6,2369.319,1143.4784,194946.62,348.66547,1422272500000000.0,441.52762,0.8511330485343933
7,7,1079.7225,502.33392,66671.9,199.90689,3971467700000000.0,258.209,0.7383902668952942
8,8,1723.888,797.3515,154126.33,308.3672,5.248717e+16,392.58926,0.7595283389091492
9,9,1144.897,583.30963,132410.75,266.6641,1.9460308e+16,363.88287,0.6110802888870239
10,10,1351.9331,709.55133,131167.27,284.37317,1.4815632e+17,362.17023,0.7426133155822754
11,Average,1075.4312,551.7271,100744.7,235.57884,5.7431826e+16,304.466,0.6158007491718639
12,Standard Deviation,582.4395,274.59845,51881.445,70.76384,6.063485e+16,89.69479,0.16940123829051615
