,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,586.2245,302.10443,45564.57,162.27786,8555980000000000.0,213.45859,0.5041985511779785
1,1,443.9609,325.32227,81481.11,219.77124,1.6323269e+17,285.44897,0.2459721565246582
2,2,784.5025,354.2095,74264.77,213.38918,4.9244347e+16,272.51562,0.408929705619812
3,3,729.13776,384.85095,61026.76,168.2739,935638700000000.0,247.03595,0.5888170003890991
4,4,274.19473,166.39223,11503.937,80.17219,2.6683053e+16,107.25641,0.584503173828125
5,5,1341.9609,800.09467,142822.67,296.86197,1.518556e+17,377.91888,0.7786802053451538
6,6,2369.319,1143.4784,194834.45,348.83887,1394107500000000.0,441.40057,0.8512782454490662
7,7,1079.7225,502.33392,64000.18,192.65578,4001754400000000.0,252.98257,0.7465529441833496
8,8,1723.888,797.3515,153571.05,305.38364,4.452285e+16,391.8814,0.7595974206924438
9,9,1144.897,583.30963,122964.06,254.50487,1.6632582e+16,350.66232,0.6428090333938599
10,10,1351.9331,709.55133,118624.21,270.58902,1.37082145e+17,344.41867,0.7655268311500549
11,Average,1075.4312,551.7271,97332.53,228.42896,5.4921886e+16,298.63455,0.6251695697957819
12,Standard Deviation,582.4395,274.59845,51441.113,73.3092,6.090525e+16,90.277,0.17468578026559822
