,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,586.2245,302.10443,48870.97,172.61723,9579819000000000.0,221.0678,0.4943940043449402
1,1,443.9609,325.32227,79596.055,216.38985,1.5986691e+17,282.12772,0.2647097110748291
2,2,784.5025,354.2095,78413.836,219.72485,5.5187517e+16,280.02472,0.3847780227661133
3,3,729.13776,384.85095,62173.97,169.85507,897709800000000.0,249.34709,0.580913782119751
4,4,274.19473,166.39223,11485.463,79.86648,2.0104061e+16,107.17025,0.5851637125015259
5,5,1341.9609,800.09467,141998.39,292.55005,1.0649687e+17,376.82675,0.7807859182357788
6,6,2369.319,1143.4783,190245.06,343.25104,1304661700000000.0,436.1709,0.8563674688339233
7,7,1079.7225,502.33392,64821.414,196.56041,4415148500000000.0,254.6005,0.744890570640564
8,8,1723.888,797.3515,153235.39,304.9044,4.309488e+16,391.4529,0.7621707916259766
9,9,1144.897,583.30963,124882.05,256.50116,1.6254094e+16,353.38654,0.6334617733955383
10,10,1351.9331,709.55133,121208.57,272.44666,1.3994613e+17,348.1502,0.7596138119697571
11,11,1147.2064,443.27185,115250.99,258.02332,3337467000000000.0,339.48636,0.41803544759750366
12,12,1129.2291,514.7746,162738.28,312.67426,8422655300000000.0,403.40833,0.3953371047973633
13,13,1871.8838,694.4047,161687.22,311.40875,2.2945659e+16,402.1035,0.6649351119995117
14,Average,1141.2902,551.5321,108329.12,243.34099,4.2275256e+16,317.5231,0.5946826594216483
15,Standard Deviation,555.0581,248.26997,49866.5,69.42019,5.1931772e+16,86.64982,0.17353315094748678
