,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,583.8501,302.56003,46646.08,167.47597,7389730700000000.0,215.97704,0.5062555074691772
1,1,386.5515,378.83817,124275.03,269.77942,2.5780967e+17,352.52664,0.14946913719177246
2,2,828.27826,380.10745,83208.14,228.64314,6.2014217e+16,288.45822,0.42539501190185547
3,3,663.86523,346.54477,35906.73,138.68016,1641685200000000.0,189.4907,0.7089954018592834
4,4,240.7999,152.5243,9140.061,71.23205,1.1969005e+16,95.60366,0.6142927408218384
5,5,1306.2788,796.6915,129166.805,282.31143,1.0715835e+17,359.39783,0.8009029626846313
6,6,2141.7234,1192.0842,177936.84,338.08295,2687326000000000.0,421.82562,0.8774701952934265
7,7,1013.7621,483.0594,59539.305,187.83589,1722120300000000.0,244.00677,0.7542288303375244
8,8,1704.5146,791.31885,142249.12,298.86536,3.742846e+16,377.15927,0.7813173532485962
9,9,1132.4783,581.6971,105851.03,237.24207,6189669600000000.0,325.34756,0.6888278722763062
10,10,1298.2285,708.28845,113111.53,263.5354,1.5658343e+17,336.3206,0.7747690677642822
11,11,1136.1868,438.52267,105729.05,249.73062,0.26172635,325.16003,0.45476704835891724
12,12,1190.477,537.69763,156893.53,302.52332,9626375000000000.0,396.09787,0.457338809967041
13,13,1820.3535,665.6176,145350.94,297.9223,1.446985e+16,381.24918,0.672512412071228
14,Average,1103.382,553.968,102500.29,238.13289,4.8334986e+16,307.75864,0.6190387393747058
15,Standard Deviation,524.1931,254.44585,47714.402,70.958824,7.346383e+16,88.23218,0.19056576619129015
