,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,538.0808,285.1209,40519.965,156.10846,6937868400000000.0,201.29572,0.503257155418396
1,1,215.14949,267.1936,72484.305,189.72285,2.3598055e+17,269.2291,0.0021768808364868164
2,2,773.431,379.25873,89669.73,236.2096,7.1994308e+16,299.44904,0.39791232347488403
3,3,654.8826,351.61862,37364.73,143.3553,2898772200000000.0,193.29959,0.6990426778793335
4,4,231.79648,154.87016,8789.325,70.51214,1.1054579e+16,93.7514,0.6468672752380371
5,5,1245.8862,785.25336,137327.28,287.00714,1.3587781e+17,370.57697,0.783305823802948
6,6,2003.9985,1158.6085,201266.28,360.83832,1775669500000000.0,448.6271,0.853593111038208
7,7,936.1597,466.99454,68698.27,200.04596,9492438000000000.0,262.10355,0.6919347047805786
8,8,1623.7529,812.9235,165680.81,317.3726,5.141623e+16,407.0391,0.7612525820732117
9,9,1075.9386,603.3736,119922.51,253.68709,1.0858284e+16,346.29828,0.67580246925354
10,10,1263.7129,717.3163,126905.69,280.62143,1.7660045e+17,356.23825,0.759602427482605
11,11,1103.2482,462.70746,106166.46,244.81302,0.26901153,325.83194,0.5155140161514282
12,12,1105.252,530.36554,133313.27,274.77252,1.5125752e+16,365.12088,0.5260634422302246
13,13,1730.3748,691.2465,154323.28,303.8546,3.2045065e+16,392.84003,0.6785271167755127
14,Average,1035.8331,547.63226,104459.42,237.06578,5.4432698e+16,309.40723,0.6067751433168139
15,Standard Deviation,511.58527,258.4658,52459.133,75.15095,7.2372475e+16,93.416275,0.2072454162629849
