,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,570.9711,294.76147,42036.547,159.7499,7416076500000000.0,205.02817,0.5311904549598694
1,1,265.3799,303.19467,90374.43,219.63603,2.6058223e+17,300.6234,0.026530802249908447
2,2,814.2405,369.27686,78305.76,220.54137,5.3337653e+16,279.83167,0.4304744601249695
3,3,681.59076,357.56073,38116.457,143.40228,2054952500000000.0,195.23436,0.7034456729888916
4,4,256.20615,161.10178,11244.656,79.294716,1.8002712e+16,106.040825,0.5711711645126343
5,5,1336.924,803.45447,136934.73,281.1612,1.0853941e+17,370.04694,0.7941919565200806
6,6,2140.0085,1196.348,190172.38,353.99106,670672200000000.0,436.0876,0.8708245754241943
7,7,1004.2895,485.74057,61672.54,190.64691,2243490500000000.0,248.33957,0.7470018267631531
8,8,1694.6537,796.64056,145454.61,300.30023,4.1586377e+16,381.38513,0.776448130607605
9,9,1128.3558,584.12195,102010.1,234.99669,7201935000000000.0,319.3902,0.7013777494430542
10,10,1322.9302,716.7942,121612.664,275.58206,1.4365242e+17,348.73007,0.7662471532821655
11,11,1111.2839,441.72824,109179.875,250.17522,2362304200000000.0,330.42377,0.4478573799133301
12,12,1175.6112,542.1694,155901.25,301.5268,1.6888208e+16,394.84332,0.470805823802948
13,13,1849.6327,701.97485,154794.84,304.17148,2.1495525e+16,393.43976,0.6863017082214355
14,Average,1096.5769,553.91907,102700.77,236.79826,4.9002424e+16,307.81747,0.6088477756295886
15,Standard Deviation,538.77045,261.53543,50171.996,71.86566,7.194762e+16,89.158134,0.21074336720253434
