,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,572.31683,288.8372,45771.297,167.85435,2.029472e+16,213.94228,0.482450008392334
1,1,129.80043,174.69061,32778.887,139.91508,2.935206e+17,181.04941,-0.00698542594909668
2,2,771.73584,366.55313,81023.64,227.19727,5.717873e+16,284.6465,0.4010623097419739
3,3,688.9552,362.65802,65975.91,176.46895,3247393000000000.0,256.85776,0.4996853470802307
4,4,249.64081,162.02745,10119.193,75.07679,1.21373e+16,100.5942,0.6169064044952393
5,5,1267.6576,769.00885,124291.76,277.8284,1.10493024e+17,352.55035,0.7905401587486267
6,6,2278.973,1072.4904,212035.81,352.89474,1859321700000000.0,460.47348,0.815750241279602
7,7,1056.638,475.3479,57756.156,186.38872,2740272300000000.0,240.3251,0.7482270002365112
8,8,1606.8196,737.0188,144978.64,301.09286,3.7737447e+16,380.76062,0.733930230140686
9,9,1123.7876,530.0806,100589.68,235.10815,1671257400000000.0,317.15875,0.6420140862464905
10,10,1300.0233,687.88586,123693.66,273.25687,5.9211124e+16,351.70108,0.739544153213501
11,11,1164.1204,443.17404,118083.625,261.73056,1308587300000000.0,343.63297,0.4004138708114624
12,12,1231.9274,538.4484,160588.75,305.0628,2.116852e+16,400.73526,0.4467011094093323
13,13,1866.9067,673.055,162154.44,310.25684,1.845924e+16,402.68405,0.6422126293182373
14,Average,1093.5216,520.0911,102845.82,235.00943,4.5787676e+16,306.22226,0.568032294511795
15,Standard Deviation,569.8399,242.5194,54977.273,74.55925,7.492159e+16,95.256165,0.21162372128014176
