Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
Friday,01-Jun-18,00:00,SS,10,-,PL,1.2,PV,1.2,CL,60,5,RL,60,SA,30,DS,22,0,00:00:00,0,0,0,31.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:00:00,0,0,0,0,0,0,0,0
,354,S,30,A,74,22,8,5,19,7,5,8,3,2,-,-,- ,19,1,00:00:00,1,1,1,18,18,3,49,16.3333333333333
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,16,1,00:00:00,1,1,1,0,0,3,0,0
,182,S,34,A,47,0,0,0,0,0,0,-,-,- ,-,-,- ,3,1,00:00:00,1,0,0,0,0,2,0,0
A=<64 ,B=36,,,,,,,,,,,,,,,,,,1,00:00:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:00,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,156,,0,00:00:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:00:00,0,0,0,0,0,0,0,0
,908,S,287,AC,101,-,-,- ,17,7,5,5,2,1,-,-,- ,23,1,00:00:00,1,0,0,9,0,2,0,0
,196,S,310,A,61,57,8,10,16,3,3,156,6,27,-,-,- ,156,1,00:00:00,1,1,1,17,17,3,229,76.3333333333333
,196,S,311,ABE,61,15,3,4,32,5,6,37,8,7,26,5,6,53,1,00:00:00,1,1,1,21,21,4,110,27.5
,196,S,312,D,34,41,4,4,21,3,2,44,7,6,33,4,3,59,1,00:00:00,1,1,1,18,18,4,139,34.75
,197,L,71,ABF,65,15,4,3,15,5,4,-,-,- ,-,-,- ,360,1,00:00:00,1,0,0,9,0,2,0,0
,197,L,72,ABF,65,25,6,5,34,8,7,-,-,- ,-,-,- ,520,1,00:00:00,1,0,0,14,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:00:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:01,SS,6M+,PL,8.3,PV,8.3,CL,87,0,RL,86,SA,20,DS,37,,0,00:01:00,0,0,0,173,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:01:00,0,0,0,0,0,0,0,0
,183,S,20,AC,53,20,4,3,12,2,2,37,7,8,7,2,1,39,1,00:01:00,1,1,1,15,15,4,76,19
,183,S,21,B,27,21,3,2,0,0,0,0,0,0,-,-,- ,35,1,00:01:00,1,1,1,3,3,3,21,7
,184,S,161,A,77,16,5,4,27,8,7,24,9,8,7,2,2,28,1,00:01:00,1,0,0,24,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:01:00,1,0,0,0,0,2,0,0
,183,S,183,B,27,21,3,2,0,0,0,-,-,- ,-,-,- ,35,1,00:01:00,1,1,0,3,0,2,0,0
,183,L,7,AC,53,20,4,3,-,-,- ,-,-,- ,-,-,- ,160,1,00:01:00,1,1,0,4,0,1,0,0
A=<25 ,B=52,C=#20,,,,,,,,,,,,,,,,,1,00:01:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:01,SS,58M+,PL,1.3,PV,1.3,CL,87,0,RL,70,SA,201,DS,71,,0,00:01:00,0,0,0,157,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:01:00,0,0,0,0,0,0,0,0
,288,S,206,A,85,27,10,9,0,0,0,21,9,7,0,0,0,26,1,00:01:00,1,1,1,19,19,4,48,12
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:01:00,1,1,1,0,0,2,0,0
A=<82 ,B=#16,,,,,,,,,,,,,,,,,,1,00:01:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:01,SS,10,-,PL,1.2,PV,3.2,CL,60,0,RL,60,SA,30,DS,13,0,00:01:00,0,0,0,31.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:01:00,0,0,0,0,0,0,0,0
,354,S,30,A,59,13,4,2,12,4,2,0,0,0,-,-,- ,17,1,00:01:00,1,1,1,8,8,3,25,8.33333333333333
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,8,1,00:01:00,1,1,1,0,0,3,0,0
,182,S,34,A,61,7,2,1,26,7,6,-,-,- ,-,-,- ,12,1,00:01:00,1,0,0,9,0,2,0,0
A=<64 ,B=36,,,,,,,,,,,,,,,,,,1,00:01:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:02,SS,10,-,PL,4.2,PV,4.2,CL,60,-6,RL,60,SA,30,DS,24,0,00:02:00,0,0,0,34.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:02:00,0,0,0,0,0,0,0,0
,354,S,30,A,31,24,3,2,24,3,2,0,0,0,-,-,- ,20,1,00:02:00,1,1,1,6,6,3,48,16
,354,S,31,B,22,27,2,2,60,2,5,24,2,2,-,-,- ,27,1,00:02:00,1,1,1,6,6,3,111,37
,182,S,34,A,61,7,2,1,26,7,6,-,-,- ,-,-,- ,20,1,00:02:00,1,0,0,9,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,00:02:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:02,SS,6M+,PL,8.3,PV,8.3,CL,93,0,RL,86,SA,15,DS,125,,0,00:02:00,0,0,0,179,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:02:00,0,0,0,0,0,0,0,0
,183,S,20,AC,53,20,4,3,12,2,2,37,7,8,7,2,1,37,1,00:02:00,1,1,1,15,15,4,76,19
,183,S,21,B,26,33,5,3,32,5,3,17,2,1,-,-,- ,30,1,00:02:00,1,1,1,12,12,3,82,27.3333333333333
,184,S,161,A,88,26,9,7,50,17,15,25,10,9,7,2,2,37,1,00:02:00,1,0,0,38,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:02:00,1,0,0,0,0,2,0,0
,183,S,183,B,26,33,5,3,32,5,3,-,-,- ,-,-,- ,30,1,00:02:00,1,1,0,10,0,2,0,0
,183,L,7,AC,53,20,4,3,-,-,- ,-,-,- ,-,-,- ,140,1,00:02:00,1,1,0,4,0,1,0,0
A=<26 ,B=52,C=#20,,,,,,,,,,,,,,,,,1,00:02:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:02,SS,58M-,PL,1.3,PV,1.3,CL,93,0,RL,69,SA,200,DS,5,,0,00:02:00,0,0,0,162,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:02:00,0,0,0,0,0,0,0,0
,288,S,206,A,85,31,12,10,0,0,0,12,5,4,0,0,0,28,1,00:02:00,1,1,1,17,17,4,43,10.75
