Strategic,Monitor,On,Monday,02-April-2018,filename:CCITY_20180402

Monday,02-April-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,88,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,66,23,5,5,9,2,2,14,5,4,7,2,2,30
,183,S,21,B,28,17,2,2,26,3,2,31,3,3,-,-,-,36
,184,S,161,A,90,16,6,5,19,7,6,11,5,4,5,2,2,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,28,17,2,2,26,3,2,-,-,-,-,-,-,33
,183,L,7,AC,66,23,5,5,-,-,-,-,-,-,-,-,-,180
A=<33,B=44,C=#20
Monday,02-April-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,88,+0,RL,72,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,24,9,5,27,10,6,13,4,3,-,-,-,23
,354,S,31,B,16,14,2,1,14,2,1,0,0,0,-,-,-,23
,182,S,34,A,73,68,2,15,12,4,3,-,-,-,-,-,-,34
,2,L,14,AD,56,19,4,3,19,5,5,-,-,-,-,-,-,660
,2,L,15,AD,56,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,02-April-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,88,+0,RL,72,SA,201,DS,108
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,93,15,6,5,0,0,0,24,9,8,0,0,0,23
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Monday,02-April-2018,00:01,SS,85M+,PL,8.3,PV,8.2,CL,120,+1,RL,125,SA,310,DS,145
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,100,-,-,-,39,6,11,13,5,4,-,-,-,22
,196,S,310,A,50,30,4,4,43,5,6,161,7,24,-,-,-,145
,196,S,311,ABE,50,15,2,3,40,6,7,43,8,7,14,3,3,42
,196,S,312,D,24,17,2,1,33,3,3,34,4,3,24,3,2,44
,197,L,71,ABF,46,30,7,5,20,6,4,-,-,-,-,-,-,200
,197,L,72,ABF,46,33,5,5,38,7,7,-,-,-,-,-,-,400
A=<22,B=20,C=#25,D=20,E=17
Monday,02-April-2018,00:01,SS,6M+,PL,4.3,PV,3.3,CL,86,+0,RL,86,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,56,15,3,3,7,2,1,14,4,3,0,0,0,25
,183,S,21,B,31,10,2,1,22,3,2,10,2,1,-,-,-,29
,184,S,161,A,83,13,4,4,22,7,6,11,4,4,0,0,0,23
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,10,2,1,22,3,2,-,-,-,-,-,-,27
,183,L,7,AC,56,15,3,3,-,-,-,-,-,-,-,-,-,160
A=<33,B=44,C=#20
Monday,02-April-2018,00:01,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,71,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,75,14,5,3,14,5,4,5,2,1,-,-,-,21
,354,S,31,B,21,25,4,2,18,3,1,0,0,0,-,-,-,22
,182,S,34,A,89,7,2,2,14,5,4,-,-,-,-,-,-,31
,2,L,14,AD,57,21,5,4,9,3,2,-,-,-,-,-,-,700
,2,L,15,AD,57,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Monday,02-April-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,71,SA,201,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,81,8,3,2,0,0,0,14,5,4,0,0,0,18
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Monday,02-April-2018,00:03,SS,6M+,PL,4.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,14,3,3,0,0,0,11,3,3,0,0,0,16
,183,S,21,B,31,48,7,5,30,4,3,0,0,0,-,-,-,36
,184,S,161,A,89,15,6,4,23,9,7,9,4,3,0,0,0,22
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,48,7,5,30,4,3,-,-,-,-,-,-,35
,183,L,7,AC,58,14,3,3,-,-,-,-,-,-,-,-,-,140
A=<33,B=44,C=#20
Monday,02-April-2018,00:03,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,70,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,17,6,3,18,6,4,14,4,3,-,-,-,19
,354,S,31,B,19,25,4,2,8,2,1,11,2,1,-,-,-,23
,182,S,34,A,56,0,0,0,22,6,4,-,-,-,-,-,-,29
,2,L,14,AD,54,16,4,3,20,6,5,-,-,-,-,-,-,760
,2,L,15,AD,54,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Monday,02-April-2018,00:03,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,70,SA,201,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,87,13,5,4,4,2,1,14,6,4,0,0,0,16
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Monday,02-April-2018,00:03,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,135,SA,310,DS,165
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,101,-,-,-,0,0,0,7,3,2,-,-,-,18
,196,S,310,A,67,52,8,10,40,6,7,168,3,34,-,-,-,165
,196,S,311,ABE,67,0,0,0,24,5,5,24,7,6,0,0,0,33
,196,S,312,D,25,46,4,3,36,4,3,24,3,2,9,2,1,46
,197,L,71,ABF,48,36,8,7,25,7,5,-,-,-,-,-,-,260
,197,L,72,ABF,48,30,7,5,6,2,1,-,-,-,-,-,-,300
A=<22,B=20,C=#25,D=20,E=17
Monday,02-April-2018,00:04,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,23,4,4,17,4,3,14,4,3,0,0,0,18
,183,S,21,B,24,24,3,2,24,3,2,10,2,1,-,-,-,31
,184,S,161,A,83,8,3,2,21,7,6,10,4,3,0,0,0,22
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,24,24,3,2,24,3,2,-,-,-,-,-,-,31
,183,L,7,AC,54,23,4,4,-,-,-,-,-,-,-,-,-,140
A=<31,B=46,C=#20
Monday,02-April-2018,00:04,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,27,7,6,18,6,4,9,3,2,-,-,-,21
,354,S,31,B,26,29,4,3,37,3,4,0,0,0,-,-,-,30
,182,S,34,A,13,0,0,0,30,3,1,-,-,-,-,-,-,24
,2,L,14,AD,78,19,6,5,38,13,13,-,-,-,-,-,-,1260
,2,L,15,AD,78,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Monday,02-April-2018,00:04,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,24,8,7,0,0,0,19,6,5,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:05,SS,85M+,PL,2.3,PV,2.3,CL,120,+0,RL,135,SA,310,DS,109
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,114,-,-,-,33,7,11,4,2,1,-,-,-,26
,196,S,310,A,74,28,7,6,26,4,5,40,9,9,-,-,-,109
,196,S,311,ABE,74,9,2,3,24,7,6,21,6,5,0,0,0,28
,196,S,312,D,43,87,6,10,45,5,6,52,8,9,34,4,4,62
,197,L,71,ABF,54,19,6,4,10,4,2,-,-,-,-,-,-,260
,197,L,72,ABF,54,31,6,6,19,4,4,-,-,-,-,-,-,280
A=<14,B=20,C=#25,D=27,E=18
Monday,02-April-2018,00:05,SS,6M+,PL,5.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,62,20,5,4,7,2,1,17,5,4,6,2,1,20
,183,S,21,B,31,25,4,3,53,6,6,0,0,0,-,-,-,42
,184,S,161,A,85,8,3,2,17,6,5,15,6,5,6,2,2,20
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,25,4,3,53,6,6,-,-,-,-,-,-,42
,183,L,7,AC,62,20,5,4,-,-,-,-,-,-,-,-,-,160
A=<31,B=46,C=#20
Monday,02-April-2018,00:05,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,60,16,5,3,15,5,3,8,2,1,-,-,-,20
,354,S,31,B,20,0,0,0,25,3,2,0,0,0,-,-,-,29
,182,S,34,A,11,15,2,1,0,0,0,-,-,-,-,-,-,21
,2,L,14,AD,78,19,6,5,38,13,13,-,-,-,-,-,-,1600
,2,L,15,AD,78,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,02-April-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,15,6,5,0,0,0,18,7,5,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:07,SS,85M+,PL,2.3,PV,8.3,CL,120,+0,RL,135,SA,310,DS,113
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,82,-,-,-,36,12,8,0,0,0,-,-,-,29
,196,S,310,A,51,15,2,2,65,7,9,139,9,21,-,-,-,113
,196,S,311,ABE,51,11,3,2,61,10,10,38,8,7,24,6,5,41
,196,S,312,D,33,40,5,4,21,2,2,28,5,4,0,0,0,57
,197,L,71,ABF,39,64,9,10,52,11,9,-,-,-,-,-,-,400
,197,L,72,ABF,39,66,10,9,50,7,8,-,-,-,-,-,-,360
A=<14,B=20,C=#25,D=27,E=18
Monday,02-April-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,7,2,1,7,2,1,19,5,4,7,2,1,20
,183,S,21,B,33,33,3,4,47,5,5,60,6,7,-,-,-,50
,184,S,161,A,85,8,3,2,20,7,6,15,6,5,6,2,2,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,33,3,4,47,5,5,-,-,-,-,-,-,44
,183,L,7,AC,53,7,2,1,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Monday,02-April-2018,00:07,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,14,5,3,14,5,3,10,3,2,-,-,-,18
,354,S,31,B,40,15,2,2,23,3,4,54,7,8,-,-,-,41
,182,S,34,A,23,0,0,0,14,2,1,-,-,-,-,-,-,18
,2,L,14,AD,13,0,0,0,0,0,0,-,-,-,-,-,-,1000
,2,L,15,AD,13,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,02-April-2018,00:07,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,13,5,4,5,2,1,21,8,6,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:08,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,17,4,3,17,3,3,14,3,3,0,0,0,18
,183,S,21,B,34,42,7,5,37,4,4,10,2,1,-,-,-,50
,184,S,161,A,85,10,4,3,15,5,4,7,3,2,0,0,0,17
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,42,7,5,37,4,4,-,-,-,-,-,-,46
,183,L,7,AC,53,17,4,3,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Monday,02-April-2018,00:08,SS,10M+,PL,1.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,41,12,9,40,13,9,28,9,6,-,-,-,27
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,23
,182,S,34,A,62,8,2,2,27,2,6,-,-,-,-,-,-,20
,2,L,14,AD,44,18,3,3,39,8,7,-,-,-,-,-,-,860
,2,L,15,AD,44,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Monday,02-April-2018,00:08,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,20,8,6,0,0,0,33,12,10,0,0,0,26
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:09,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,136,SA,310,DS,126
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,114,-,-,-,12,6,4,10,5,3,-,-,-,25
,196,S,310,A,53,56,7,9,28,4,4,159,4,25,-,-,-,126
,196,S,311,ABE,53,8,2,2,45,6,8,59,10,11,16,4,3,52
,196,S,312,D,36,20,4,2,24,5,3,44,8,6,25,4,3,52
,197,L,71,ABF,41,28,5,4,32,7,6,-,-,-,-,-,-,360
,197,L,72,ABF,41,45,6,6,54,10,9,-,-,-,-,-,-,420
A=<22,B=20,C=#25,D=20,E=17
Monday,02-April-2018,00:10,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,51,22,5,4,17,3,3,8,2,2,0,0,0,20
,183,S,21,B,33,21,3,2,51,7,6,9,2,1,-,-,-,50
