Strategic,Monitor,On,Friday,20-April-2018,filename:CCITY_20180420

Friday,20-April-2018,00:00,SS,6M+,PL,6.3,PV,7.3,CL,117,+0,RL,98,SA,20,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,79,12,4,3,21,7,5,27,9,8,5,2,1,26
,183,S,21,B,41,36,6,5,65,9,9,39,5,5,-,-,-,59
,184,S,161,A,118,17,8,7,31,15,14,19,10,9,5,2,2,29
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,41,36,6,5,65,9,9,-,-,-,-,-,-,59
,183,L,7,AC,79,12,4,3,-,-,-,-,-,-,-,-,-,140
A=<35,B=48,C=#20
Friday,20-April-2018,00:00,SS,10M+,PL,3.2,PV,3.2,CL,117,+0,RL,98,SA,20,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,96,15,6,5,17,7,5,5,2,2,-,-,-,18
,354,S,31,B,20,15,3,1,26,4,2,0,0,0,-,-,-,27
,182,S,34,A,75,19,4,4,29,5,8,-,-,-,-,-,-,25
,2,L,14,AD,83,18,7,5,38,17,14,-,-,-,-,-,-,1100
,2,L,15,AD,83,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,20-April-2018,00:00,SS,58M+,PL,4.3,PV,4.3,CL,117,+0,RL,98,SA,201,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,115,18,9,8,4,2,1,16,8,7,0,0,0,22
,288,S,270,B,11,22,2,1,0,0,0,-,-,-,-,-,-,10
A=<83,B=#20
Friday,20-April-2018,00:01,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,136,SA,310,DS,118
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,103,-,-,-,32,9,10,8,3,2,-,-,-,49
,196,S,310,A,52,61,6,9,44,7,7,92,7,13,-,-,-,118
,196,S,311,ABE,52,7,2,1,64,11,11,46,10,9,24,5,5,56
,196,S,312,D,43,36,4,5,40,5,6,60,10,10,11,2,1,81
,197,L,71,ABF,38,52,9,8,38,7,6,-,-,-,-,-,-,420
,197,L,72,ABF,38,71,10,9,64,10,9,-,-,-,-,-,-,400
A=<22,B=20,C=#25,D=20,E=17
Friday,20-April-2018,00:02,SS,6M+,PL,6.3,PV,6.3,CL,119,+1,RL,98,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,74,12,4,3,21,5,5,20,5,6,16,4,4,25
,183,S,21,B,39,41,9,5,18,3,2,12,3,1,-,-,-,50
,184,S,161,A,113,5,2,2,14,6,6,23,11,10,8,3,3,28
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,39,41,9,5,18,3,2,-,-,-,-,-,-,50
,183,L,7,AC,74,12,4,3,-,-,-,-,-,-,-,-,-,120
A=<35,B=48,C=#20
Friday,20-April-2018,00:02,SS,10M+,PL,4.2,PV,4.2,CL,119,+2,RL,98,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,95,14,5,4,13,5,4,9,2,3,-,-,-,17
