Strategic,Monitor,On,Thursday,26-April-2018,filename:CCITY_20180426

Thursday,26-April-2018,00:00,SS,85M+,PL,8.3,PV,7.4,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,85,-,-,-,26,9,6,5,2,1,-,-,-,27
,196,S,310,A,38,0,0,0,32,2,3,29,2,3,-,-,-,52
,196,S,311,ABE,38,0,0,0,32,3,4,29,3,4,0,0,0,40
,196,S,312,D,21,0,0,0,24,2,2,23,2,2,0,0,0,39
,197,L,71,ABF,62,15,4,4,62,2,17,-,-,-,-,-,-,540
,197,L,72,ABF,62,21,6,4,5,2,1,-,-,-,-,-,-,220
A=<18,B=20,C=#25,D=20,E=17
Thursday,26-April-2018,00:01,SS,85M+,PL,2.3,PV,2.4,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,97,-,-,-,20,8,6,5,2,1,-,-,-,25
,196,S,310,A,59,13,3,2,23,5,4,13,3,2,-,-,-,38
,196,S,311,ABE,81,5,2,2,22,7,5,24,8,7,0,0,0,32
,196,S,312,D,34,49,4,5,31,4,3,66,8,9,36,5,3,48
,197,L,71,ABF,65,17,5,4,30,6,8,-,-,-,-,-,-,540
,197,L,72,ABF,65,26,7,5,12,4,3,-,-,-,-,-,-,220
A=<10,B=20,C=#25,D=27,E=18
Thursday,26-April-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,120,+0,RL,88,SA,20,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,82,39,5,10,7,2,2,11,4,4,5,2,2,38
,183,S,21,B,30,11,2,1,43,5,4,32,5,3,-,-,-,46
,184,S,161,A,157,16,10,9,24,15,13,12,9,7,3,2,2,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,11,2,1,43,5,4,-,-,-,-,-,-,46
,183,L,7,AC,82,39,5,10,-,-,-,-,-,-,-,-,-,280
A=<35,B=48,C=#20
Thursday,26-April-2018,00:01,SS,10M+,PL,3.2,PV,3.2,CL,120,+0,RL,87,SA,20,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,102,7,3,2,6,3,2,5,2,2,-,-,-,13
,354,S,31,B,16,11,2,1,7,2,0,11,2,1,-,-,-,18
,182,S,34,A,36,0,0,0,14,2,2,-,-,-,-,-,-,12
,2,L,14,AD,38,31,4,4,27,4,5,-,-,-,-,-,-,1300
,2,L,15,AD,38,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,26-April-2018,00:01,SS,58M-,PL,1.3,PV,1.3,CL,120,+0,RL,124,SA,206,DS,153
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,98,21,8,8,12,4,4,153,2,65,0,0,0,152
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,10
A=<87,B=#16
Thursday,26-April-2018,00:03,SS,85M+,PL,2.4,PV,7.4,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,100,-,-,-,15,7,4,8,3,2,-,-,-,19
,196,S,310,A,40,38,3,4,58,6,7,66,6,7,-,-,-,44
,196,S,311,ABE,40,0,0,0,46,5,6,30,5,4,9,2,1,36
,196,S,312,D,28,0,0,0,16,3,1,18,3,2,10,2,1,35
,197,L,71,ABF,42,52,9,8,35,9,6,-,-,-,-,-,-,520
,197,L,72,ABF,42,50,7,7,33,5,5,-,-,-,-,-,-,320
A=<10,B=20,C=#25,D=27,E=18
Thursday,26-April-2018,00:03,SS,6M+,PL,6.3,PV,6.3,CL,118,+0,RL,96,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,75,29,8,7,16,5,4,24,8,7,0,0,0,36
,183,S,21,B,36,24,5,3,40,5,5,23,3,3,-,-,-,43
,184,S,161,A,122,12,5,5,23,10,10,19,10,9,0,0,0,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,36,24,5,3,40,5,5,-,-,-,-,-,-,43
,183,L,7,AC,75,29,8,7,-,-,-,-,-,-,-,-,-,280
A=<35,B=48,C=#20
Thursday,26-April-2018,00:03,SS,10M+,PL,3.2,PV,3.2,CL,118,+0,RL,95,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,111,18,10,6,10,6,4,10,6,3,-,-,-,14
,354,S,31,B,15,11,2,1,0,0,0,10,2,1,-,-,-,11
,182,S,34,A,125,0,0,0,11,5,5,-,-,-,-,-,-,12
,2,L,14,AD,75,26,7,6,25,10,8,-,-,-,-,-,-,960
,2,L,15,AD,75,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,26-April-2018,00:03,SS,58M+,PL,2.3,PV,2.3,CL,118,+0,RL,116,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,125,21,11,10,5,2,2,0,0,0,0,0,0,94
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,7
A=<80,B=#24
Thursday,26-April-2018,00:05,SS,85M+,PL,2.4,PV,2.4,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,100,-,-,-,15,7,4,8,3,2,-,-,-,16
,196,S,310,A,39,43,3,5,27,4,3,45,5,5,-,-,-,47
,196,S,311,ABE,39,0,0,0,23,3,3,25,3,3,0,0,0,32
,196,S,312,D,30,27,2,2,41,5,4,45,6,5,0,0,0,41
,197,L,71,ABF,51,25,6,5,25,7,5,-,-,-,-,-,-,420
,197,L,72,ABF,51,15,2,2,7,2,1,-,-,-,-,-,-,240
A=<10,B=20,C=#25,D=27,E=18
Thursday,26-April-2018,00:05,SS,6M+,PL,6.3,PV,5.3,CL,116,+0,RL,99,SA,15,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,86,16,4,4,17,6,5,13,6,4,4,2,1,26
,183,S,21,B,26,18,3,2,20,3,2,8,2,1,-,-,-,32
,184,S,161,A,108,8,4,3,18,8,7,14,7,6,0,0,0,21
,184,S,162,B,22,9,2,1,0,0,0,-,-,-,-,-,-,4
,183,S,183,B,26,18,3,2,20,3,2,-,-,-,-,-,-,32
,183,L,7,AC,86,16,4,4,-,-,-,-,-,-,-,-,-,180
A=<35,B=48,C=#20
Thursday,26-April-2018,00:05,SS,10M+,PL,4.2,PV,4.2,CL,116,+0,RL,99,SA,15,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
