Strategic,Monitor,On,Saturday,28-April-2018,filename:CCITY_20180428

Saturday,28-April-2018,00:00,SS,6M+,PL,3.3,PV,7.3,CL,86,+0,RL,86,SA,52,DS,90
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,23,5,4,36,8,7,28,6,6,12,3,3,44
,183,S,21,B,30,24,4,2,57,6,6,0,0,0,-,-,-,51
,184,S,161,A,89,12,5,4,37,13,11,30,13,11,8,3,2,47
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,24,4,2,57,6,6,-,-,-,-,-,-,51
,183,L,7,AC,58,23,5,4,-,-,-,-,-,-,-,-,-,240
A=<35,B=42,C=#20
Saturday,28-April-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,71,SA,52,DS,90
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,59,19,6,4,18,6,4,10,3,2,-,-,-,26
,354,S,31,B,14,18,3,1,10,2,1,16,2,1,-,-,-,21
,182,S,34,A,34,11,4,1,29,9,3,-,-,-,-,-,-,22
,2,L,14,AD,21,18,2,1,0,0,0,-,-,-,-,-,-,860
,2,L,15,AD,21,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Saturday,28-April-2018,00:00,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,201,DS,77
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,59,23,6,5,0,0,0,20,6,5,0,0,0,40
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,15
A=<72,B=#24
Saturday,28-April-2018,00:01,SS,85M+,PL,8.3,PV,8.4,CL,120,+0,RL,140,SA,310,DS,168
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,122,-,-,-,14,8,5,4,2,1,-,-,-,19
,196,S,310,A,62,0,0,0,103,19,18,169,2,30,-,-,-,168
,196,S,311,ABE,62,17,3,4,48,9,9,29,7,6,0,0,0,52
,196,S,312,D,25,34,3,2,20,3,2,37,4,4,10,2,1,59
,197,L,71,ABF,49,62,12,11,65,14,13,-,-,-,-,-,-,580
,197,L,72,ABF,49,37,6,6,24,4,4,-,-,-,-,-,-,380
A=<22,B=20,C=#25,D=20,E=17
Saturday,28-April-2018,00:02,SS,6M+,PL,3.3,PV,4.3,CL,88,+0,RL,86,SA,15,DS,136
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,36,7,6,33,7,6,35,8,8,7,2,1,38
,183,S,21,B,29,54,5,5,48,4,5,34,4,3,-,-,-,49
,184,S,161,A,87,29,11,9,48,16,15,25,10,9,6,2,2,46
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,54,5,5,48,4,5,-,-,-,-,-,-,49
,183,L,7,AC,58,36,7,6,-,-,-,-,-,-,-,-,-,240
A=<35,B=42,C=#20
