Strategic,Monitor,On,Thursday,31-May-2018,filename:CCITY_20180531

Thursday,31-May-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,91,+0,RL,86,SA,20,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,32,3,3,18,3,2,30,5,5,0,0,0,41
,183,S,21,B,27,10,2,1,33,4,3,0,0,0,-,-,-,36
,184,S,161,A,98,18,7,6,32,12,11,28,12,11,12,4,4,28
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,10,2,1,33,4,3,-,-,-,-,-,-,36
,183,L,7,AC,38,32,3,3,-,-,-,-,-,-,-,-,-,260
A=<30,B=48,C=#20
Thursday,31-May-2018,00:00,SS,58M+,PL,4.3,PV,4.3,CL,91,+0,RL,74,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,87,15,6,5,5,2,1,12,5,4,0,0,0,21
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<69,B=#28
Thursday,31-May-2018,00:00,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,39,27,3,3,31,4,4,0,0,0,-,-,-,22
,354,S,31,B,25,19,2,2,70,5,7,0,0,0,-,-,-,50
,182,S,34,A,50,10,2,2,10,2,2,-,-,-,-,-,-,23
A=<47,B=53
Thursday,31-May-2018,00:00,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,83,-,-,-,23,8,6,6,2,1,-,-,-,17
,196,S,310,A,43,36,4,4,36,5,5,48,4,6,-,-,-,65
,196,S,311,ABE,43,0,0,0,30,5,4,25,4,4,14,3,2,42
,196,S,312,D,23,15,2,1,36,3,3,29,4,3,0,0,0,50
,197,L,71,ABF,44,39,7,6,43,8,8,-,-,-,-,-,-,440
,197,L,72,ABF,44,35,6,5,31,5,4,-,-,-,-,-,-,400
A=<18,B=20,C=#25,D=20,E=17
Thursday,31-May-2018,00:01,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,47,5,2,1,6,2,1,0,0,0,-,-,-,15
,354,S,31,B,16,25,2,1,41,2,3,0,0,0,-,-,-,51
,182,S,34,A,50,10,2,2,10,2,2,-,-,-,-,-,-,17
A=<47,B=53
Thursday,31-May-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,63,23,5,4,7,2,1,25,6,6,11,2,3,35
,183,S,21,B,23,0,0,0,14,2,1,0,0,0,-,-,-,27
,184,S,161,A,92,14,5,4,27,10,8,25,10,9,6,2,2,27
,184,S,162,B,27,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,23,0,0,0,14,2,1,-,-,-,-,-,-,27
,183,L,7,AC,63,23,5,4,-,-,-,-,-,-,-,-,-,220
A=<29,B=48,C=#20
Thursday,31-May-2018,00:01,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,75,SA,201,DS,9
