Strategic,Monitor,On,Saturday,02-June-2018,filename:CCITY_20180602

Saturday,02-June-2018,00:00,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,53,24,4,4,9,3,2,12,4,2,-,-,-,24
,354,S,31,B,15,72,3,4,60,3,4,62,3,3,-,-,-,46
,182,S,34,A,42,37,5,5,26,4,4,-,-,-,-,-,-,32
A=<47,B=53
Saturday,02-June-2018,00:00,SS,85M+,PL,6.3,PV,8.3,CL,119,+0,RL,119,SA,313,DS,118
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,97,-,-,-,34,10,10,21,5,5,-,-,-,35
,196,S,310,A,53,86,8,13,25,5,4,63,7,9,-,-,-,92
,196,S,311,ABE,53,17,3,4,35,5,6,31,4,6,25,4,5,52
,196,S,312,D,37,61,3,7,30,5,4,50,8,7,21,3,2,63
,197,L,71,ABF,57,31,6,6,30,7,7,-,-,-,-,-,-,460
,197,L,72,ABF,57,44,7,8,31,6,6,-,-,-,-,-,-,460
A=<19,B=20,C=#25,D=23,E=17
Saturday,02-June-2018,00:01,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,60,23,5,4,23,5,4,22,5,4,-,-,-,25
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,31
,182,S,34,A,42,37,5,5,26,4,4,-,-,-,-,-,-,33
A=<47,B=53
Saturday,02-June-2018,00:01,SS,6M+,PL,7.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,20,2,2,11,2,1,29,3,4,0,0,0,39
,183,S,21,B,26,45,5,4,96,9,9,22,2,2,-,-,-,74
,184,S,161,A,85,20,5,5,24,8,7,15,6,5,9,2,2,36
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,45,5,4,96,9,9,-,-,-,-,-,-,74
,183,L,7,AC,38,20,2,2,-,-,-,-,-,-,-,-,-,240
A=<27,B=50,C=#20
Saturday,02-June-2018,00:01,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,200,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,73,30,9,8,14,4,3,31,10,9,0,0,0,28
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,10
A=<72,B=#24
Saturday,02-June-2018,00:02,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,26,11,2,1,0,0,0,0,0,0,-,-,-,18
,354,S,31,B,16,20,2,1,0,0,0,0,0,0,-,-,-,25
,182,S,34,A,63,0,0,0,0,0,0,-,-,-,-,-,-,20
A=<53,B=47
Saturday,02-June-2018,00:02,SS,6M+,PL,7.3,PV,6.3,CL,86,+0,RL,86,SA,15,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,20,4,3,34,6,6,54,13,12,14,4,3,45
,183,S,21,B,26,21,3,2,34,5,3,0,0,0,-,-,-,59
,184,S,161,A,85,20,7,5,56,17,16,41,16,14,14,5,4,46
,184,S,162,B,27,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,21,3,2,34,5,3,-,-,-,-,-,-,59
,183,L,7,AC,55,20,4,3,-,-,-,-,-,-,-,-,-,160
A=<27,B=50,C=#20
Saturday,02-June-2018,00:02,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,201,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,42,13,12,16,4,4,29,10,9,0,0,0,34
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,7
A=<72,B=#24
Saturday,02-June-2018,00:02,SS,85M+,PL,8.3,PV,8.3,CL,117,+0,RL,112,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,95,-,-,-,45,11,13,14,4,3,-,-,-,40
,196,S,310,A,53,86,8,13,25,5,4,63,7,9,-,-,-,83
,196,S,311,ABE,53,17,3,4,35,5,6,31,4,6,25,4,5,44
,196,S,312,D,37,61,3,7,30,5,4,50,8,7,21,3,2,65
,197,L,71,ABF,54,60,12,11,49,11,10,-,-,-,-,-,-,500
,197,L,72,ABF,54,49,10,9,35,7,6,-,-,-,-,-,-,440
A=<22,B=20,C=#25,D=20,E=17
Saturday,02-June-2018,00:03,SS,10,-,PL,3.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,56,12,5,2,9,4,2,10,4,2,-,-,-,14
,354,S,31,B,20,0,0,0,52,3,4,0,0,0,-,-,-,30
,182,S,34,A,47,0,0,0,27,4,4,-,-,-,-,-,-,20
A=<53,B=47
Saturday,02-June-2018,00:04,SS,6M+,PL,7.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,46
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,32,5,5,46,8,8,42,10,9,0,0,0,45
,183,S,21,B,29,21,3,2,29,4,3,17,3,2,-,-,-,45
,184,S,161,A,59,26,6,5,68,15,14,44,11,11,9,2,2,54
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,21,3,2,29,4,3,-,-,-,-,-,-,45
,183,L,7,AC,55,32,5,5,-,-,-,-,-,-,-,-,-,140
A=<27,B=50,C=#20
Saturday,02-June-2018,00:04,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,58,23,7,4,20,6,4,11,3,2,-,-,-,17
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,22
,182,S,34,A,47,0,0,0,27,4,4,-,-,-,-,-,-,21
A=<53,B=47
Saturday,02-June-2018,00:04,SS,58M+,PL,2.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,42,13,12,16,4,4,29,10,9,0,0,0,40
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<74,B=#22
Saturday,02-June-2018,00:04,SS,85M+,PL,8.3,PV,8.3,CL,108,+0,RL,108,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,97,-,-,-,30,10,9,11,3,3,-,-,-,36
,196,S,310,A,46,36,5,5,100,13,14,77,7,10,-,-,-,92
,196,S,311,ABE,45,0,0,0,16,3,2,30,5,5,0,0,0,33
