Strategic,Monitor,On,Wednesday,06-June-2018,filename:CCITY_20180606

Wednesday,06-June-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,14,3,2,0,0,0,9,3,2,0,0,0,12
,183,S,21,B,32,44,7,5,0,0,0,25,4,3,-,-,-,26
,184,S,161,A,85,0,0,0,8,3,2,7,3,2,0,0,0,10
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,32,44,7,5,0,0,0,-,-,-,-,-,-,26
,183,L,7,AC,55,14,3,2,-,-,-,-,-,-,-,-,-,60
A=<33,B=44,C=#20
Wednesday,06-June-2018,00:00,SS,58M+,PL,3.3,PV,2.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,14,6,4,0,0,0,0,0,0,0,0,0,14
,288,S,270,B,11,0,0,0,17,2,1,-,-,-,-,-,-,17
A=<70,B=#26
Wednesday,06-June-2018,00:00,SS,10,+,PL,4.2,PV,4.2,CL,83-11,RL,63,SA,30,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,32,9,7,23,7,5,15,5,3,-,-,-,26
,354,S,31,B,25,33,3,3,66,5,7,12,2,1,-,-,-,36
,182,S,34,A,74,9,3,2,30,9,8,-,-,-,-,-,-,14
A=<47,B=53
Wednesday,06-June-2018,00:01,SS,85M+,PL,7.3,PV,5.3,CL,100,+0,RL,88,SA,313,DS,152
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,49,-,-,-,39,6,5,8,2,1,-,-,-,28
,196,S,310,A,50,81,6,11,83,8,12,33,4,5,-,-,-,62
,196,S,311,ABE,50,0,0,0,55,8,9,36,5,6,14,3,3,47
,196,S,312,D,38,66,5,8,49,6,6,116,12,17,0,0,0,70
,197,L,71,ABF,41,0,0,0,0,0,0,-,-,-,-,-,-,180
,197,L,72,ABF,41,40,7,5,39,5,5,-,-,-,-,-,-,300
A=<16,B=20,C=#25,D=22,E=17
Wednesday,06-June-2018,00:01,SS,6M+,PL,4.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,47
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,10,2,2,29,6,5,47,3,10,0,0,0,26
,183,S,21,B,31,0,0,0,0,0,0,13,2,1,-,-,-,25
,184,S,161,A,85,15,5,4,27,9,8,16,7,5,0,0,0,16
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,0,0,0,0,0,0,-,-,-,-,-,-,19
,183,L,7,AC,55,10,2,2,-,-,-,-,-,-,-,-,-,60
A=<33,B=44,C=#20
Wednesday,06-June-2018,00:01,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,200,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,20,7,6,12,4,3,8,3,3,0,0,0,16
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<72,B=#24
