Strategic,Monitor,On,Thursday,07-June-2018,filename:CCITY_20180607

Thursday,07-June-2018,00:00,SS,85M+,PL,3.3,PV,3.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,97,-,-,-,71,13,20,6,2,2,-,-,-,56
,196,S,310,A,28,0,0,0,71,6,6,67,4,5,-,-,-,69
,196,S,311,ABE,27,0,0,0,16,2,1,17,2,2,0,0,0,21
,196,S,312,D,41,24,2,3,45,6,6,68,9,11,0,0,0,76
,197,L,71,ABF,36,50,8,6,79,9,11,-,-,-,-,-,-,400
,197,L,72,ABF,36,13,2,2,11,2,1,-,-,-,-,-,-,160
A=<11,B=20,C=#25,D=26,E=18
Thursday,07-June-2018,00:00,SS,10,+,PL,3.2,PV,3.2,CL,72,+6,RL,72,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,11,4,2,11,4,3,7,3,1,-,-,-,15
,354,S,31,B,17,0,0,0,22,3,1,0,0,0,-,-,-,24
,182,S,34,A,60,11,3,2,20,5,4,-,-,-,-,-,-,15
A=<53,B=47
Thursday,07-June-2018,00:00,SS,6M+,PL,7.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,51
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,51,3,9,18,4,3,22,5,5,9,2,2,34
,183,S,21,B,34,29,4,3,49,5,6,10,2,1,-,-,-,57
,184,S,161,A,85,11,4,3,27,9,8,21,8,7,7,2,2,22
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,29,4,3,49,5,6,-,-,-,-,-,-,57
,183,L,7,AC,57,51,3,9,-,-,-,-,-,-,-,-,-,220
A=<27,B=50,C=#20
Thursday,07-June-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,24,10,8,0,0,0,10,4,4,0,0,0,22
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Thursday,07-June-2018,00:01,SS,10,-,PL,3.2,PV,4.2,CL,63,+0,RL,63,SA,30,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,20,4,4,20,4,4,0,0,0,-,-,-,16
,354,S,31,B,21,32,4,2,23,4,2,0,0,0,-,-,-,27
,182,S,34,A,50,0,0,0,8,2,1,-,-,-,-,-,-,12
A=<53,B=47
Thursday,07-June-2018,00:02,SS,85M+,PL,2.3,PV,2.3,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,109,-,-,-,73,10,23,4,2,1,-,-,-,68
,196,S,310,A,33,29,2,3,15,2,1,43,4,4,-,-,-,59
,196,S,311,ABE,33,10,2,1,24,3,3,59,7,7,26,4,3,37
,196,S,312,D,32,28,3,3,0,0,0,52,6,6,0,0,0,65
,197,L,71,ABF,37,18,4,2,9,2,1,-,-,-,-,-,-,280
