Strategic,Monitor,On,Saturday,07-April-2018,filename:CCITY_20180407

Saturday,07-April-2018,00:00,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,165
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,79,-,-,-,79,12,19,8,2,2,-,-,-,114
,196,S,310,A,53,52,7,8,76,11,12,169,2,25,-,-,-,165
,196,S,311,ABE,53,15,4,3,57,11,10,37,8,7,6,2,1,63
,196,S,312,D,43,54,6,7,64,8,9,79,12,13,10,2,1,116
,197,L,71,ABF,38,55,7,8,49,8,8,-,-,-,-,-,-,520
,197,L,72,ABF,38,52,8,7,41,7,6,-,-,-,-,-,-,400
A=<22,B=20,C=#25,D=20,E=17
Saturday,07-April-2018,00:00,SS,58,-,PL,1.3,PV,1.3,CL,85,+0,RL,68,SA,200,DS,53
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,42,11,11,8,2,2,24,6,7,0,0,0,37
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<75,B=#21
Saturday,07-April-2018,00:00,SS,6M+,PL,7.3,PV,6.3,CL,112,-2,RL,99,SA,20,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,84,30,10,8,31,10,9,16,5,5,4,2,1,32
,183,S,21,B,34,23,4,3,49,7,6,11,3,1,-,-,-,45
,184,S,161,A,119,19,10,7,35,17,16,32,17,15,10,4,4,32
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,4
,183,S,183,B,34,23,4,3,49,7,6,-,-,-,-,-,-,45
,183,L,7,AC,84,30,10,8,-,-,-,-,-,-,-,-,-,220
A=<32,B=50,C=#20
Saturday,07-April-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,112,+0,RL,98,SA,20,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,95,25,11,8,22,10,7,22,9,6,-,-,-,21
,354,S,31,B,27,0,0,0,36,6,4,22,2,2,-,-,-,31
,182,S,34,A,77,16,4,4,24,6,6,-,-,-,-,-,-,26
,2,L,14,AD,63,13,4,3,13,5,4,-,-,-,-,-,-,1160
,2,L,15,AD,63,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Saturday,07-April-2018,00:01,SS,58,-,PL,1.3,PV,1.3,CL,85,+0,RL,68,SA,201,DS,65
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,42,11,11,8,2,2,24,6,7,0,0,0,40
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<75,B=#21
Saturday,07-April-2018,00:02,SS,85M+,PL,3.3,PV,3.3,CL,120,+0,RL,139,SA,310,DS,119
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,105,-,-,-,77,15,25,21,9,6,-,-,-,91
,196,S,310,A,51,44,4,7,39,5,6,61,5,9,-,-,-,119
,196,S,311,ABE,51,16,3,3,55,8,9,48,8,9,28,5,6,61
,196,S,312,D,43,132,11,16,72,11,10,91,12,15,40,6,5,118
,197,L,71,ABF,38,55,7,8,49,8,8,-,-,-,-,-,-,460
,197,L,72,ABF,38,52,8,7,41,7,6,-,-,-,-,-,-,400
A=<15,B=20,C=#25,D=26,E=18
Saturday,07-April-2018,00:02,SS,6M+,PL,6.3,PV,6.3,CL,110,+0,RL,98,SA,20,DS,71
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,42,71,7,9,12,2,2,12,3,2,0,0,0,49
,183,S,21,B,43,55,10,8,64,11,10,32,6,5,-,-,-,56
,184,S,161,A,113,26,11,10,38,16,16,19,9,8,0,0,0,35
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,43,55,10,8,64,11,10,-,-,-,-,-,-,56
,183,L,7,AC,42,71,7,9,-,-,-,-,-,-,-,-,-,260
A=<34,B=48,C=#20
Saturday,07-April-2018,00:02,SS,10M+,PL,4.2,PV,3.2,CL,110,+0,RL,96,SA,20,DS,71
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,90,19,7,5,16,6,5,21,8,5,-,-,-,23
,354,S,31,B,27,35,5,3,32,5,3,9,2,1,-,-,-,34
,182,S,34,A,77,0,0,0,31,8,8,-,-,-,-,-,-,28
,2,L,14,AD,68,19,6,4,28,10,8,-,-,-,-,-,-,1000
,2,L,15,AD,68,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Saturday,07-April-2018,00:02,SS,58,-,PL,3.3,PV,3.3,CL,85,+0,RL,68,SA,201,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,83,19,7,6,6,2,2,23,9,8,0,0,0,33
,288,S,270,B,11,24,2,1,0,0,0,-,-,-,-,-,-,11
A=<67,B=#28
Saturday,07-April-2018,00:04,SS,85M+,PL,3.3,PV,2.3,CL,120,+0,RL,125,SA,111,DS,91
