Strategic,Monitor,On,Thursday,12-April-2018,filename:CCITY_20180412

Thursday,12-April-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,51,12,3,2,29,5,5,23,5,5,0,0,0,35
,183,S,21,B,34,26,5,3,52,5,6,28,4,3,-,-,-,57
,184,S,161,A,85,16,5,4,20,7,6,18,7,6,0,0,0,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,26,5,3,52,5,6,-,-,-,-,-,-,57
,183,L,7,AC,51,12,3,2,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Thursday,12-April-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,15,5,3,5,2,1,10,4,2,-,-,-,17
,354,S,31,B,22,18,2,1,27,4,2,0,0,0,-,-,-,23
,182,S,34,A,87,6,2,1,6,2,2,-,-,-,-,-,-,6
,2,L,14,AD,35,10,2,1,20,4,3,-,-,-,-,-,-,1200
,2,L,15,AD,35,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,12-April-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,17,6,5,9,3,2,24,8,7,0,0,0,24
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Thursday,12-April-2018,00:00,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,78,-,-,-,0,0,0,5,2,1,-,-,-,9
,196,S,310,A,32,64,5,6,85,8,8,56,5,5,-,-,-,73
,196,S,311,ABE,32,13,2,2,48,4,5,68,7,8,28,4,4,67
,196,S,312,D,40,29,2,3,24,4,3,64,7,10,28,3,3,84
,197,L,71,ABF,23,59,5,5,48,6,5,-,-,-,-,-,-,300
,197,L,72,ABF,23,35,2,3,43,3,4,-,-,-,-,-,-,360
A=<18,B=20,C=#25,D=20,E=17
Thursday,12-April-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,21,4,4,14,2,2,15,4,3,0,0,0,26
,183,S,21,B,34,15,3,2,50,5,6,12,2,1,-,-,-,51
,184,S,161,A,85,8,3,2,9,3,3,10,4,3,0,0,0,16
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,15,3,2,50,5,6,-,-,-,-,-,-,51
,183,L,7,AC,54,21,4,4,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Thursday,12-April-2018,00:01,SS,10M+,PL,2.2,PV,2.2,CL,86,+0,RL,69,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,21,6,4,13,4,3,9,3,2,-,-,-,20
,354,S,31,B,20,19,2,1,19,3,1,0,0,0,-,-,-,22
,182,S,34,A,11,0,0,0,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,51,25,5,4,37,9,8,-,-,-,-,-,-,1160
,2,L,15,AD,51,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Thursday,12-April-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,4,2,1,0,0,0,7,3,2,0,0,0,17
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Thursday,12-April-2018,00:02,SS,85M+,PL,8.3,PV,8.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,96,-,-,-,0,0,0,7,3,2,-,-,-,7
,196,S,310,A,32,62,3,6,53,5,5,22,2,2,-,-,-,70
,196,S,311,ABE,32,17,2,2,24,3,2,36,3,4,20,2,3,53
,196,S,312,D,25,41,4,3,0,0,0,34,3,3,0,0,0,62
,197,L,71,ABF,69,43,11,11,36,12,11,-,-,-,-,-,-,520
,197,L,72,ABF,69,19,5,4,13,5,3,-,-,-,-,-,-,280
A=<18,B=20,C=#25,D=20,E=17
Thursday,12-April-2018,00:03,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,51,0,0,0,22,5,4,15,4,3,0,0,0,23
,183,S,21,B,29,35,5,3,31,4,3,11,2,1,-,-,-,44
,184,S,161,A,85,6,3,2,17,6,5,13,6,4,0,0,0,15
,184,S,162,B,12,0,0,0,30,2,1,-,-,-,-,-,-,14
,183,S,183,B,29,35,5,3,31,4,3,-,-,-,-,-,-,44
,183,L,7,AC,51,0,0,0,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Thursday,12-April-2018,00:03,SS,10M+,PL,2.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,13,5,3,8,3,2,21,7,4,-,-,-,20
,354,S,31,B,19,0,0,0,27,4,2,0,0,0,-,-,-,24
,182,S,34,A,72,6,2,1,10,3,2,-,-,-,-,-,-,6
,2,L,14,AD,62,16,3,3,7,2,2,-,-,-,-,-,-,760
,2,L,15,AD,62,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Thursday,12-April-2018,00:03,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,48
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,17,6,5,6,2,1,15,5,4,0,0,0,15
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Thursday,12-April-2018,00:04,SS,85M+,PL,5.3,PV,5.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
