Strategic,Monitor,On,Friday,13-April-2018,filename:CCITY_20180413

Friday,13-April-2018,00:00,SS,3M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,83,10,3,3,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,15,15,2,1,0,0,0,0,0,0,-,-,-,19
,145,S,133,AB,69,14,5,4,20,6,5,-,-,-,-,-,-,18
,145,S,204,AB,69,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,69,14,5,4,20,6,5,-,-,-,-,-,-,18
,145,S,212,AC,83,10,3,3,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,69,14,5,4,20,6,5,-,-,-,-,-,-,280
A=<39,B=#23,C=34
Friday,13-April-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,52,DS,90
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,14,5,3,10,4,2,11,4,2,-,-,-,16
,354,S,31,B,14,0,0,0,14,2,1,0,0,0,-,-,-,16
,182,S,34,A,44,21,4,3,39,6,6,-,-,-,-,-,-,23
,2,L,14,AD,69,29,7,6,59,15,18,-,-,-,-,-,-,2500
,2,L,15,AD,69,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,13-April-2018,00:01,SS,28M+,PL,6.2,PV,6.2,CL,92,+0,RL,89,SA,47,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,49,14,3,2,36,6,6,-,-,-,-,-,-,28
,48,S,90,A,49,-,-,-,-,-,-,0,0,0,-,-,-,67
,48,S,91,BC,21,26,5,2,25,3,2,-,-,-,-,-,-,49
,48,S,213,A,49,-,-,-,-,-,-,0,0,0,-,-,-,67
,48,L,23,A,49,14,3,2,36,6,6,-,-,-,-,-,-,260
,48,L,49,A,49,-,-,-,-,-,-,0,0,0,-,-,-,580
A=<44,B=32,C=#22
Friday,13-April-2018,00:01,SS,23M+,PL,6.2,PV,6.2,CL,120,+0,RL,101,SA,310,DS,145
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,41,20,16,52,20,18,43,17,16,-,-,-,42
,152,S,131,A,80,37,9,10,45,12,13,-,-,-,-,-,-,30
,152,S,132,C,24,27,3,2,17,3,2,36,6,3,-,-,-,49
,193,L,57,ABCE,80,5,2,2,32,9,9,53,14,15,-,-,-,680
