Strategic,Monitor,On,Tuesday,17-April-2018,filename:CCITY_20180417

Tuesday,17-April-2018,00:00,SS,85M+,PL,5.4,PV,6.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,54,-,-,-,0,0,0,7,2,1,-,-,-,12
,196,S,310,A,35,38,2,4,57,5,6,41,3,4,-,-,-,58
,196,S,311,ABE,35,13,2,2,42,4,5,26,2,3,28,2,4,47
,196,S,312,D,32,42,4,4,37,5,4,48,7,6,0,0,0,71
,197,L,71,ABF,44,46,8,8,40,8,8,-,-,-,-,-,-,480
,197,L,72,ABF,44,24,4,4,12,3,2,-,-,-,-,-,-,300
A=<14,B=20,C=#25,D=24,E=17
Tuesday,17-April-2018,00:00,SS,58,-,PL,1.3,PV,1.3,CL,85,+0,RL,70,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,80,8,3,2,0,0,0,11,4,3,0,0,0,12
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<84,B=#14
Tuesday,17-April-2018,00:01,SS,6M+,PL,5.3,PV,5.3,CL,90,+0,RL,86,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,64,12,3,2,15,4,3,14,4,4,7,2,2,24
,183,S,21,B,31,23,3,2,36,5,4,9,2,1,-,-,-,31
,184,S,161,A,91,0,0,0,0,0,0,0,0,0,0,0,0,10
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,23,3,2,36,5,4,-,-,-,-,-,-,31
,183,L,7,AC,64,12,3,2,-,-,-,-,-,-,-,-,-,120
A=<32,B=46,C=#20
Tuesday,17-April-2018,00:01,SS,10M+,PL,4.2,PV,4.2,CL,90,+0,RL,72,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,74,12,5,3,10,4,2,6,3,1,-,-,-,13
,354,S,31,B,18,22,2,1,20,2,1,0,0,0,-,-,-,17
,182,S,34,A,14,6,2,0,0,0,0,-,-,-,-,-,-,5
,2,L,14,AD,64,12,3,3,17,5,5,-,-,-,-,-,-,860
,2,L,15,AD,64,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,17-April-2018,00:02,SS,85M+,PL,7.4,PV,7.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,97,-,-,-,0,0,0,7,3,2,-,-,-,11
,196,S,310,A,44,56,6,7,46,6,6,34,4,4,-,-,-,56
,196,S,311,ABE,44,0,0,0,31,5,4,27,3,4,21,2,3,40
,196,S,312,D,26,40,4,3,21,2,2,18,3,2,0,0,0,52
,197,L,71,ABF,48,21,5,4,17,5,4,-,-,-,-,-,-,380
,197,L,72,ABF,48,12,3,2,10,3,2,-,-,-,-,-,-,220
A=<16,B=20,C=#25,D=22,E=17
Tuesday,17-April-2018,00:02,SS,58,+,PL,1.3,PV,1.3,CL,85,+0,RL,69,SA,201,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,81,10,4,3,0,0,0,13,5,4,0,0,0,12
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<84,B=#14
Tuesday,17-April-2018,00:02,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,63,7,2,1,10,3,2,13,4,3,0,0,0,18
,183,S,21,B,31,38,5,4,30,4,3,0,0,0,-,-,-,34
,184,S,161,A,93,0,0,0,9,3,3,11,4,4,0,0,0,9
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,38,5,4,30,4,3,-,-,-,-,-,-,34
,183,L,7,AC,63,7,2,1,-,-,-,-,-,-,-,-,-,100
A=<31,B=46,C=#20
Tuesday,17-April-2018,00:02,SS,10M+,PL,4.2,PV,2.2,CL,86,+0,RL,73,SA,20,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,76,9,4,2,9,4,2,6,3,1,-,-,-,12
,354,S,31,B,14,10,2,1,9,2,0,0,0,0,-,-,-,14
,182,S,34,A,48,0,0,0,7,2,1,-,-,-,-,-,-,6
,2,L,14,AD,77,19,6,5,21,9,7,-,-,-,-,-,-,1060
,2,L,15,AD,77,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,17-April-2018,00:03,SS,58,+,PL,1.3,PV,1.3,CL,85,+0,RL,68,SA,200,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,8,3,3,0,0,0,14,5,5,0,0,0,13
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<84,B=#14
Tuesday,17-April-2018,00:03,SS,85M+,PL,7.4,PV,8.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,97,-,-,-,0,0,0,7,3,2,-,-,-,7
,196,S,310,A,44,56,6,7,46,6,6,34,4,4,-,-,-,56
,196,S,311,ABE,44,0,0,0,31,5,4,27,3,4,21,2,3,33
,196,S,312,D,26,40,4,3,21,2,2,18,3,2,0,0,0,42
,197,L,71,ABF,53,30,8,6,23,6,5,-,-,-,-,-,-,380
,197,L,72,ABF,53,30,6,5,6,2,1,-,-,-,-,-,-,180
A=<16,B=20,C=#25,D=22,E=17
Tuesday,17-April-2018,00:04,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,62,7,2,1,12,2,2,5,2,1,0,0,0,13
,183,S,21,B,27,11,2,1,24,3,2,0,0,0,-,-,-,31
,184,S,161,A,87,10,4,3,14,5,4,7,3,2,0,0,0,10
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,11,2,1,24,3,2,-,-,-,-,-,-,31
,183,L,7,AC,62,7,2,1,-,-,-,-,-,-,-,-,-,40
A=<31,B=46,C=#20
Tuesday,17-April-2018,00:04,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,71,SA,20,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,75,19,8,5,14,6,3,4,2,1,-,-,-,14
,354,S,31,B,14,10,2,1,9,2,0,0,0,0,-,-,-,13
,182,S,34,A,60,0,0,0,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,53,20,4,4,15,3,4,-,-,-,-,-,-,900
,2,L,15,AD,53,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,17-April-2018,00:05,SS,58,+,PL,1.3,PV,1.3,CL,85,+0,RL,68,SA,200,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,8,3,3,0,0,0,14,5,5,0,0,0,14
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<84,B=#14
Tuesday,17-April-2018,00:05,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,42,-,-,-,0,0,0,0,0,0,-,-,-,4
,196,S,310,A,30,16,2,1,55,5,5,58,5,5,-,-,-,57
,196,S,311,ABE,29,0,0,0,63,3,6,0,0,0,0,0,0,45
,196,S,312,D,25,50,4,4,12,2,1,29,4,3,0,0,0,45
,197,L,71,ABF,43,20,4,3,38,5,7,-,-,-,-,-,-,340
,197,L,72,ABF,43,40,6,6,21,4,3,-,-,-,-,-,-,240
A=<18,B=20,C=#25,D=20,E=17
Tuesday,17-April-2018,00:05,SS,6M+,PL,5.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,7,2,1,7,2,1,10,3,2,0,0,0,11
,183,S,21,B,33,49,7,5,70,6,8,23,3,2,-,-,-,48
,184,S,161,A,82,5,2,1,17,6,5,12,5,4,0,0,0,15
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,49,7,5,70,6,8,-,-,-,-,-,-,48
,183,L,7,AC,57,7,2,1,-,-,-,-,-,-,-,-,-,40
A=<31,B=46,C=#20
Tuesday,17-April-2018,00:05,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,70,SA,20,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,75,19,8,5,14,6,3,4,2,1,-,-,-,17
,354,S,31,B,14,0,0,0,9,2,0,0,0,0,-,-,-,10
,182,S,34,A,13,0,0,0,0,0,0,-,-,-,-,-,-,2
,2,L,14,AD,69,0,0,0,7,3,2,-,-,-,-,-,-,600
,2,L,15,AD,69,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Tuesday,17-April-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,0,0,0,8,2,1,15,3,3,0,0,0,13
,183,S,21,B,29,19,3,2,31,3,3,21,3,2,-,-,-,42
,184,S,161,A,84,7,3,2,7,3,2,4,2,1,0,0,0,12
,184,S,162,B,27,16,2,1,0,0,0,-,-,-,-,-,-,7
,183,S,183,B,29,19,3,2,31,3,3,-,-,-,-,-,-,42
,183,L,7,AC,53,0,0,0,-,-,-,-,-,-,-,-,-,20
