Strategic,Monitor,On,Wednesday,18-April-2018,filename:CCITY_20180418

Wednesday,18-April-2018,00:00,SS,28M+,PL,7.3,PV,7.2,CL,60,+0,RL,60,SA,50,DS,138
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,19,0,0,0,42,3,3,-,-,-,-,-,-,30
,48,S,90,A,19,-,-,-,-,-,-,72,4,6,-,-,-,97
,48,S,91,BC,14,10,2,0,0,0,0,-,-,-,-,-,-,52
,48,S,213,A,19,-,-,-,-,-,-,72,4,6,-,-,-,97
,48,L,23,A,19,0,0,0,42,3,3,-,-,-,-,-,-,200
,48,L,49,A,19,-,-,-,-,-,-,72,4,6,-,-,-,880
A=<33,B=30,C=#22
Wednesday,18-April-2018,00:00,SS,23M+,PL,1.2,PV,1.2,CL,66,+0,RL,66,SA,130,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,90,20,12,9,21,11,8,7,3,3,-,-,-,21
,152,S,131,A,90,9,4,3,8,4,3,-,-,-,-,-,-,9
,152,S,132,C,16,0,0,0,0,0,0,0,0,0,-,-,-,0
,193,L,57,ABCE,78,0,0,0,20,6,5,144,6,39,-,-,-,1340
,193,L,58,AE,56,7,2,1,7,2,1,11,3,2,-,-,-,200
A=<74,B=1,C=26,D=1
Wednesday,18-April-2018,00:01,SS,28M+,PL,7.2,PV,8.2,CL,60-13,RL,60,SA,47,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,51,0,0,0,15,3,3,-,-,-,-,-,-,25
,48,S,90,A,51,-,-,-,-,-,-,76,8,16,-,-,-,88
,48,S,91,BC,20,30,4,2,26,3,2,-,-,-,-,-,-,44
,48,S,213,A,51,-,-,-,-,-,-,76,8,16,-,-,-,88
,48,L,23,A,51,0,0,0,15,3,3,-,-,-,-,-,-,200
,48,L,49,A,51,-,-,-,-,-,-,76,8,16,-,-,-,920
A=<33,B=30,C=#22
Wednesday,18-April-2018,00:01,SS,3M+,PL,1.3,PV,1.3,CL,99,+5,RL,70,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,75,0,0,0,-,-,-,-,-,-,-,-,-,4
,145,S,10,C,13,0,0,0,18,2,1,0,0,0,-,-,-,15
,145,S,133,AB,87,4,2,2,0,0,0,-,-,-,-,-,-,6
,145,S,204,AB,87,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,87,4,2,2,0,0,0,-,-,-,-,-,-,6
,145,S,212,AC,75,0,0,0,-,-,-,-,-,-,-,-,-,4
,145,L,4,AB,87,4,2,2,0,0,0,-,-,-,-,-,-,100
A=<37,B=#23,C=40
Wednesday,18-April-2018,00:01,SS,10M+,PL,3.2,PV,3.2,CL,99,+3,RL,70,SA,20,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,61,22,6,4,20,6,4,15,5,3,-,-,-,16
,354,S,31,B,24,35,5,3,32,5,3,0,0,0,-,-,-,29
,182,S,34,A,45,0,0,0,26,3,4,-,-,-,-,-,-,15
,2,L,14,AD,79,16,5,4,26,9,9,-,-,-,-,-,-,1060
,2,L,15,AD,79,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,18-April-2018,00:01,SS,23M+,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,131,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,36,13,3,2,7,2,1,13,2,2,-,-,-,17
,152,S,131,A,36,12,2,1,25,5,3,-,-,-,-,-,-,16
,152,S,132,C,16,24,2,1,25,2,2,42,3,2,-,-,-,19
,193,L,57,ABCE,54,6,2,1,19,4,3,0,0,0,-,-,-,940
,193,L,58,AE,32,23,3,2,20,3,2,12,2,1,-,-,-,160
A=<68,B=1,C=32,D=1
Wednesday,18-April-2018,00:02,SS,28M+,PL,8.2,PV,8.2,CL,66-15,RL,60,SA,50,DS,139
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,19,39,3,3,0,0,0,-,-,-,-,-,-,32
,48,S,90,A,19,-,-,-,-,-,-,45,2,4,-,-,-,61
,48,S,91,BC,20,44,2,3,0,0,0,-,-,-,-,-,-,32
,48,S,213,A,19,-,-,-,-,-,-,45,2,4,-,-,-,61
,48,L,23,A,19,39,3,3,0,0,0,-,-,-,-,-,-,180
,48,L,49,A,19,-,-,-,-,-,-,45,2,4,-,-,-,500
A=<39,B=28,C=#22
Wednesday,18-April-2018,00:02,SS,23M+,PL,3.2,PV,6.2,CL,60,+0,RL,60,SA,131,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,36,13,3,2,7,2,1,13,2,2,-,-,-,15
,152,S,131,A,36,12,2,1,25,5,3,-,-,-,-,-,-,21
,152,S,132,C,16,24,2,1,25,2,2,42,3,2,-,-,-,33
,193,L,57,ABCE,54,6,2,1,19,4,3,0,0,0,-,-,-,460
,193,L,58,AE,32,23,3,2,20,3,2,12,2,1,-,-,-,180
A=<68,B=1,C=32,D=1
Wednesday,18-April-2018,00:02,SS,3M+,PL,1.3,PV,0.3,CL,97,+0,RL,75,SA,200,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,79,12,4,3,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,14,0,0,0,17,4,1,0,0,0,-,-,-,18
,145,S,133,AB,66,4,2,1,10,3,2,-,-,-,-,-,-,8
,145,S,204,AB,66,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,66,4,2,1,10,3,2,-,-,-,-,-,-,8
,145,S,212,AC,79,12,4,3,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,66,4,2,1,10,3,2,-,-,-,-,-,-,100
A=<36,B=#23,C=40
Wednesday,18-April-2018,00:02,SS,10M+,PL,3.2,PV,4.2,CL,97,+0,RL,75,SA,15,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,22,7,5,21,7,4,8,3,2,-,-,-,18
,354,S,31,B,19,15,3,1,21,2,2,21,2,1,-,-,-,28
,182,S,34,A,30,0,0,0,19,3,2,-,-,-,-,-,-,17
,2,L,14,AD,30,0,0,0,9,2,1,-,-,-,-,-,-,600
,2,L,15,AD,30,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,18-April-2018,00:03,SS,28M+,PL,8.2,PV,6.3,CL,71,-2,RL,47,SA,50,DS,113
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,20,0,0,0,39,3,3,-,-,-,-,-,-,34
,48,S,90,A,20,-,-,-,-,-,-,20,3,2,-,-,-,41
,48,S,91,BC,16,19,2,1,0,0,0,-,-,-,-,-,-,30
,48,S,213,A,20,-,-,-,-,-,-,20,3,2,-,-,-,41
,48,L,23,A,20,0,0,0,39,3,3,-,-,-,-,-,-,180
,48,L,49,A,20,-,-,-,-,-,-,20,3,2,-,-,-,340
A=<41,B=28,C=#22
