Strategic,Monitor,On,Monday,23-April-2018,filename:CCITY_20180423

Monday,23-April-2018,00:00,SS,28M+,PL,7.2,PV,7.2,CL,76,+0,RL,76,SA,47,DS,51
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,34,12,2,2,47,6,6,-,-,-,-,-,-,34
,48,S,90,A,34,-,-,-,-,-,-,0,0,0,-,-,-,76
,48,S,91,BC,16,15,2,1,0,0,0,-,-,-,-,-,-,19
,48,S,213,A,34,-,-,-,-,-,-,0,0,0,-,-,-,76
,48,L,23,A,34,12,2,2,47,6,6,-,-,-,-,-,-,240
,48,L,49,A,34,-,-,-,-,-,-,0,0,0,-,-,-,620
A=<41,B=30,C=#22
Monday,23-April-2018,00:00,SS,3M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,68,11,3,3,-,-,-,-,-,-,-,-,-,9
,145,S,10,C,13,11,2,1,12,2,1,0,0,0,-,-,-,17
,145,S,133,AB,80,9,4,3,14,5,4,-,-,-,-,-,-,12
,145,S,204,AB,80,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,80,9,4,3,14,5,4,-,-,-,-,-,-,12
,145,S,212,AC,68,11,3,3,-,-,-,-,-,-,-,-,-,9
,145,L,4,AB,80,9,4,3,14,5,4,-,-,-,-,-,-,220
A=<39,B=#23,C=34
Monday,23-April-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,10,4,2,10,4,2,8,3,2,-,-,-,10
,354,S,31,B,26,48,6,5,19,3,2,0,0,0,-,-,-,29
,182,S,34,A,17,8,3,0,10,3,1,-,-,-,-,-,-,10
,2,L,14,AD,40,11,2,1,29,5,5,-,-,-,-,-,-,400
,2,L,15,AD,40,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,23-April-2018,00:00,SS,23M+,PL,3.3,PV,3.3,CL,60,+0,RL,60,SA,130,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,37,44,8,8,43,6,7,14,3,2,-,-,-,35
,152,S,131,A,37,0,0,0,0,0,0,-,-,-,-,-,-,7
,152,S,132,C,16,29,2,1,22,2,1,0,0,0,-,-,-,25
,193,L,57,ABCE,77,4,2,1,12,4,3,9,3,2,-,-,-,320
,193,L,58,AE,55,13,2,2,17,4,3,0,0,0,-,-,-,180
A=<68,B=1,C=32,D=1
Monday,23-April-2018,00:01,SS,28M+,PL,7.2,PV,8.2,CL,79,+0,RL,83,SA,90,DS,158
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,33,24,4,3,15,2,2,-,-,-,-,-,-,30
,48,S,90,A,33,-,-,-,-,-,-,158,3,22,-,-,-,105
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,13
,48,S,213,A,33,-,-,-,-,-,-,158,3,22,-,-,-,105
,48,L,23,A,33,24,4,3,15,2,2,-,-,-,-,-,-,240
,48,L,49,A,33,-,-,-,-,-,-,158,3,22,-,-,-,820
A=<42,B=30,C=#22
Monday,23-April-2018,00:01,SS,23M+,PL,3.3,PV,2.3,CL,60,+0,RL,60,SA,130,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,50,27,7,6,26,6,6,30,8,7,-,-,-,32
,152,S,131,A,50,13,3,2,23,6,4,-,-,-,-,-,-,12
,152,S,132,C,16,31,2,1,20,2,1,30,3,2,-,-,-,28
,193,L,57,ABCE,67,0,0,0,21,5,5,33,8,7,-,-,-,340
,193,L,58,AE,45,0,0,0,0,0,0,19,2,3,-,-,-,140
A=<68,B=1,C=32,D=1
Monday,23-April-2018,00:02,SS,3M+,PL,7.3,PV,7.3,CL,86,+0,RL,69,SA,201,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,77,11,3,3,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,15,0,0,0,0,0,0,0,0,0,-,-,-,10
,145,S,133,AB,63,10,4,3,11,3,2,-,-,-,-,-,-,12
,145,S,204,AB,63,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,63,10,4,3,11,3,2,-,-,-,-,-,-,12
,145,S,212,AC,77,11,3,3,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,63,10,4,3,11,3,2,-,-,-,-,-,-,220
A=<51,B=#23,C=22
Monday,23-April-2018,00:02,SS,10M+,PL,4.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,16,6,4,13,5,3,10,4,2,-,-,-,13
,354,S,31,B,13,0,0,0,0,0,0,0,0,0,-,-,-,19
,182,S,34,A,47,0,0,0,12,4,2,-,-,-,-,-,-,11
,2,L,14,AD,51,24,4,4,41,10,9,-,-,-,-,-,-,900
,2,L,15,AD,51,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,23-April-2018,00:02,SS,23M+,PL,7.3,PV,7.3,CL,60,+0,RL,60,SA,131,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,42,18,5,4,18,5,3,13,3,2,-,-,-,28
,152,S,131,A,42,28,5,4,36,7,6,-,-,-,-,-,-,24
,152,S,132,C,18,0,0,0,24,2,2,68,2,5,-,-,-,47
,193,L,57,ABCE,67,0,0,0,21,5,5,33,8,7,-,-,-,380
,193,L,58,AE,45,0,0,0,0,0,0,19,2,3,-,-,-,120
A=<61,B=1,C=39,D=1
Monday,23-April-2018,00:02,SS,28M+,PL,8.2,PV,8.2,CL,87,-2,RL,88,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,71,4,2,1,8,3,2,-,-,-,-,-,-,22
,48,S,90,A,71,-,-,-,-,-,-,154,3,46,-,-,-,121
,48,S,91,BC,21,19,4,1,15,3,1,-,-,-,-,-,-,12
,48,S,213,A,71,-,-,-,-,-,-,154,3,46,-,-,-,121
,48,L,23,A,71,4,2,1,8,3,2,-,-,-,-,-,-,200
,48,L,49,A,71,-,-,-,-,-,-,154,3,46,-,-,-,1280
A=<47,B=28,C=#22
Monday,23-April-2018,00:03,SS,3M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,201,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,92,17,5,6,-,-,-,-,-,-,-,-,-,14
,145,S,10,C,18,56,4,4,16,2,1,0,0,0,-,-,-,28
,145,S,133,AB,75,6,3,2,8,2,2,-,-,-,-,-,-,10
,145,S,204,AB,75,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,75,6,3,2,8,2,2,-,-,-,-,-,-,10
,145,S,212,AC,92,17,5,6,-,-,-,-,-,-,-,-,-,14
,145,L,4,AB,75,6,3,2,8,2,2,-,-,-,-,-,-,200
A=<36,B=#23,C=37
Monday,23-April-2018,00:03,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,16,6,4,13,5,3,10,4,2,-,-,-,15
,354,S,31,B,13,0,0,0,0,0,0,0,0,0,-,-,-,11
,182,S,34,A,87,0,0,0,8,3,2,-,-,-,-,-,-,10
,2,L,14,AD,66,46,4,10,20,6,6,-,-,-,-,-,-,1300
,2,L,15,AD,66,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,23-April-2018,00:03,SS,23M+,PL,7.3,PV,8.2,CL,60,+0,RL,60,SA,131,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,42,18,5,4,18,5,3,13,3,2,-,-,-,21
,152,S,131,A,42,28,5,4,36,7,6,-,-,-,-,-,-,33
,152,S,132,C,18,0,0,0,24,2,2,68,2,5,-,-,-,60
,193,L,57,ABCE,66,0,0,0,21,6,5,25,7,6,-,-,-,460
