Strategic,Monitor,On,Sunday,29-April-2018,filename:CCITY_20180429

Sunday,29-April-2018,00:00,SS,23M+,PL,4.4,PV,3.3,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,92,37,17,16,37,16,15,41,19,17,-,-,-,49
,152,S,131,A,92,21,7,6,62,21,21,-,-,-,-,-,-,52
,152,S,132,C,29,52,6,5,25,5,3,32,4,4,-,-,-,52
,193,L,57,ABCE,108,3,2,1,28,12,10,34,14,12,-,-,-,740
,193,L,58,AE,86,16,7,4,23,9,7,35,13,11,-,-,-,740
A=<66,B=1,C=34,D=1
Sunday,29-April-2018,00:00,SS,28M+,PL,8.4,PV,8.2,CL,95,+4,RL,91,SA,50,DS,141
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,67,0,0,0,45,10,11,-,-,-,-,-,-,31
,48,S,90,A,67,-,-,-,-,-,-,100,22,28,-,-,-,124
,48,S,91,BC,46,92,8,15,57,9,9,-,-,-,-,-,-,51
,48,S,213,A,67,-,-,-,-,-,-,100,22,28,-,-,-,124
,48,L,23,A,67,0,0,0,45,10,11,-,-,-,-,-,-,260
,48,L,49,A,67,-,-,-,-,-,-,100,22,28,-,-,-,960
A=<49,B=28,C=#22
Sunday,29-April-2018,00:01,SS,3M+,PL,5.2,PV,5.3,CL,102,+0,RL,83,SA,200,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,95,13,4,4,-,-,-,-,-,-,-,-,-,18
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,9
,145,S,133,AB,83,12,6,5,25,8,7,-,-,-,-,-,-,21
,145,S,204,AB,83,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,83,12,6,5,25,8,7,-,-,-,-,-,-,21
,145,S,212,AC,95,13,4,4,-,-,-,-,-,-,-,-,-,18
,145,L,4,AB,83,12,6,5,25,8,7,-,-,-,-,-,-,380
A=<48,B=#23,C=29
Sunday,29-April-2018,00:01,SS,10M+,PL,3.2,PV,4.2,CL,102,+0,RL,83,SA,20,DS,61
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,79,22,8,6,14,6,4,18,6,4,-,-,-,22
,354,S,31,B,15,6,2,0,11,3,1,9,2,1,-,-,-,16
,182,S,34,A,49,27,5,4,31,6,5,-,-,-,-,-,-,23
,2,L,14,AD,49,20,4,3,26,6,6,-,-,-,-,-,-,1360
,2,L,15,AD,49,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Sunday,29-April-2018,00:02,SS,28M+,PL,8.4,PV,8.2,CL,99,+1,RL,99,SA,90,DS,139
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,43,20,3,3,58,7,9,-,-,-,-,-,-,45
,48,S,90,A,43,-,-,-,-,-,-,139,15,25,-,-,-,126
,48,S,91,BC,39,64,4,9,26,4,3,-,-,-,-,-,-,66
,48,S,213,A,43,-,-,-,-,-,-,139,15,25,-,-,-,126
,48,L,23,A,43,20,3,3,58,7,9,-,-,-,-,-,-,360
,48,L,49,A,43,-,-,-,-,-,-,139,15,25,-,-,-,960
A=<50,B=28,C=#22
Sunday,29-April-2018,00:02,SS,23M+,PL,7.4,PV,7.2,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,101,32,19,15,41,21,18,26,12,12,-,-,-,45
,152,S,131,A,101,29,11,10,22,9,8,-,-,-,-,-,-,41
,152,S,132,C,39,63,8,7,44,8,7,54,8,8,-,-,-,53
,193,L,57,ABCE,96,10,3,4,28,9,9,62,9,20,-,-,-,820
,193,L,58,AE,74,16,5,4,39,12,11,15,5,4,-,-,-,620
A=<61,B=1,C=39,D=1
Sunday,29-April-2018,00:02,SS,3M+,PL,5.2,PV,0.3,CL,107,+0,RL,84,SA,200,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,91,5,2,2,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,13,15,2,1,13,2,1,0,0,0,-,-,-,10
,145,S,133,AB,79,23,8,8,7,2,2,-,-,-,-,-,-,23
,145,S,204,AB,79,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,79,23,8,8,7,2,2,-,-,-,-,-,-,23
,145,S,212,AC,91,5,2,2,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,79,23,8,8,7,2,2,-,-,-,-,-,-,380
A=<50,B=#23,C=29
Sunday,29-April-2018,00:02,SS,10M+,PL,4.2,PV,4.2,CL,107,+0,RL,84,SA,15,DS,152
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,85,18,6,5,15,6,4,7,3,2,-,-,-,20
,354,S,31,B,23,30,5,3,20,3,2,9,2,1,-,-,-,22
,182,S,34,A,57,7,2,1,46,9,9,-,-,-,-,-,-,36
,2,L,14,AD,97,48,11,16,58,22,25,-,-,-,-,-,-,2260
,2,L,15,AD,97,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,29-April-2018,00:03,SS,28M+,PL,8.2,PV,8.2,CL,106-26,RL,106,SA,90,DS,131
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,70,16,4,4,67,15,16,-,-,-,-,-,-,59
,48,S,90,A,70,-,-,-,-,-,-,131,17,38,-,-,-,127
,48,S,91,BC,48,126,6,21,60,4,10,-,-,-,-,-,-,98
,48,S,213,A,70,-,-,-,-,-,-,131,17,38,-,-,-,127
,48,L,23,A,70,16,4,4,67,15,16,-,-,-,-,-,-,580
,48,L,49,A,70,-,-,-,-,-,-,131,17,38,-,-,-,1200
A=<51,B=28,C=#22
Sunday,29-April-2018,00:04,SS,23M+,PL,7.4,PV,6.3,CL,120+28,RL,101,SA,310,DS,165
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,14,7,5,24,9,8,38,12,14,-,-,-,40
,152,S,131,A,80,36,9,10,54,14,16,-,-,-,-,-,-,48
,152,S,132,C,26,43,5,3,24,3,2,0,0,0,-,-,-,52
,193,L,57,ABCE,52,0,0,0,43,9,8,0,0,0,-,-,-,580
,193,L,58,AE,30,17,2,2,49,6,5,29,4,3,-,-,-,460
A=<61,B=1,C=39,D=1
Sunday,29-April-2018,00:04,SS,3M+,PL,5.2,PV,0.2,CL,105,+0,RL,86,SA,201,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,122,12,5,5,-,-,-,-,-,-,-,-,-,10
,145,S,10,C,21,31,4,3,0,0,0,0,0,0,-,-,-,19
,145,S,133,AB,102,18,10,9,31,12,11,-,-,-,-,-,-,27
,145,S,204,AB,102,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,102,18,10,9,31,12,11,-,-,-,-,-,-,27
,145,S,212,AC,122,12,5,5,-,-,-,-,-,-,-,-,-,10
,145,L,4,AB,102,18,10,9,31,12,11,-,-,-,-,-,-,500
A=<49,B=#23,C=29
Sunday,29-April-2018,00:04,SS,10M+,PL,4.2,PV,4.2,CL,105,+0,RL,86,SA,20,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,82,14,5,4,14,5,4,13,5,3,-,-,-,17
