Strategic,Monitor,On,Wednesday,02-May-2018,filename:CCITY_20180502

Wednesday,02-May-2018,00:00,SS,28M+,PL,7.2,PV,7.2,CL,70-17,RL,61,SA,47,DS,56
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,25,27,2,2,64,5,6,-,-,-,-,-,-,35
,48,S,90,A,25,-,-,-,-,-,-,0,0,0,-,-,-,51
,48,S,91,BC,19,11,2,1,21,3,1,-,-,-,-,-,-,17
,48,S,213,A,25,-,-,-,-,-,-,0,0,0,-,-,-,51
,48,L,23,A,25,27,2,2,64,5,6,-,-,-,-,-,-,240
,48,L,49,A,25,-,-,-,-,-,-,0,0,0,-,-,-,660
A=<39,B=30,C=#22
Wednesday,02-May-2018,00:00,SS,3M+,PL,5.3,PV,0.3,CL,86,+0,RL,69,SA,201,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,83,0,0,0,-,-,-,-,-,-,-,-,-,3
,145,S,10,C,14,0,0,0,17,2,1,19,2,1,-,-,-,13
,145,S,133,AB,70,18,8,6,7,2,2,-,-,-,-,-,-,14
,145,S,204,AB,70,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,70,18,8,6,7,2,2,-,-,-,-,-,-,14
,145,S,212,AC,83,0,0,0,-,-,-,-,-,-,-,-,-,3
,145,L,4,AB,70,18,8,6,7,2,2,-,-,-,-,-,-,260
A=<44,B=#23,C=29
Wednesday,02-May-2018,00:00,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,73,13,5,3,10,4,2,10,3,2,-,-,-,14
,354,S,31,B,20,22,2,2,38,4,3,0,0,0,-,-,-,17
,182,S,34,A,30,0,0,0,32,5,3,-,-,-,-,-,-,21
,2,L,14,AD,69,10,3,2,17,5,5,-,-,-,-,-,-,960
,2,L,15,AD,69,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,02-May-2018,00:01,SS,28M+,PL,7.2,PV,7.2,CL,70-16,RL,60,SA,47,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,13,0,0,0,0,0,0,-,-,-,-,-,-,23
,48,S,90,A,13,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,9
,48,S,213,A,13,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,L,23,A,13,0,0,0,0,0,0,-,-,-,-,-,-,140
,48,L,49,A,13,-,-,-,-,-,-,0,0,0,-,-,-,440
A=<39,B=30,C=#22
Wednesday,02-May-2018,00:01,SS,3M+,PL,6.3,PV,6.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,85,0,0,0,-,-,-,-,-,-,-,-,-,1
,145,S,10,C,13,15,2,1,11,2,1,0,0,0,-,-,-,16
,145,S,133,AB,73,14,6,5,6,2,1,-,-,-,-,-,-,14
,145,S,204,AB,73,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,73,14,6,5,6,2,1,-,-,-,-,-,-,14
,145,S,212,AC,85,0,0,0,-,-,-,-,-,-,-,-,-,1
,145,L,4,AB,73,14,6,5,6,2,1,-,-,-,-,-,-,240
A=<48,B=#23,C=25
Wednesday,02-May-2018,00:01,SS,10M+,PL,3.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,18,5,4,16,5,4,20,6,4,-,-,-,16
,354,S,31,B,21,0,0,0,47,4,4,20,2,2,-,-,-,34
,182,S,34,A,30,0,0,0,32,5,3,-,-,-,-,-,-,30
,2,L,14,AD,59,16,4,3,20,6,5,-,-,-,-,-,-,960
,2,L,15,AD,59,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,02-May-2018,00:01,SS,23M+,PL,3.2,PV,6.3,CL,109,+0,RL,100,SA,131,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,97,13,7,6,17,9,7,9,4,4,-,-,-,21
,152,S,131,A,97,19,6,6,15,7,5,-,-,-,-,-,-,17
,152,S,132,C,20,0,0,0,26,4,2,23,4,2,-,-,-,27
,193,L,57,ABCE,86,6,3,2,23,8,7,14,5,4,-,-,-,320
,193,L,58,AE,64,15,4,3,14,4,3,16,4,4,-,-,-,240
A=<68,B=1,C=32,D=1
Wednesday,02-May-2018,00:02,SS,28M+,PL,8.2,PV,8.2,CL,69,+0,RL,69,SA,90,DS,147
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,52,9,2,2,0,0,0,-,-,-,-,-,-,18
,48,S,90,A,52,-,-,-,-,-,-,147,4,32,-,-,-,66
,48,S,91,BC,25,34,5,3,36,5,3,-,-,-,-,-,-,21
,48,S,213,A,52,-,-,-,-,-,-,147,4,32,-,-,-,66
,48,L,23,A,52,9,2,2,0,0,0,-,-,-,-,-,-,140
,48,L,49,A,52,-,-,-,-,-,-,147,4,32,-,-,-,740
A=<40,B=28,C=#22
