Strategic,Monitor,On,Friday,04-May-2018,filename:CCITY_20180504

Friday,04-May-2018,00:00,SS,6M+,PL,5.3,PV,5.3,CL,93,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,22,5,4,8,2,1,6,2,1,0,0,0,26
,183,S,21,B,33,50,5,5,29,3,3,46,4,5,-,-,-,38
,184,S,161,A,75,27,8,7,28,8,7,6,2,2,0,0,0,27
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,13
,183,S,183,B,33,50,5,5,29,3,3,-,-,-,-,-,-,38
,183,L,7,AC,59,22,5,4,-,-,-,-,-,-,-,-,-,140
A=<32,B=46,C=#20
Friday,04-May-2018,00:00,SS,10M+,PL,3.2,PV,4.2,CL,93,+0,RL,69,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,20,8,5,17,7,4,7,2,2,-,-,-,16
,354,S,31,B,19,12,2,1,14,3,1,0,0,0,-,-,-,15
,182,S,34,A,20,9,3,1,24,5,2,-,-,-,-,-,-,12
,2,L,14,AD,23,0,0,0,17,2,2,-,-,-,-,-,-,560
,2,L,15,AD,23,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,04-May-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,93,+0,RL,69,SA,200,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,23,9,7,0,0,0,27,11,9,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<82,B=#17
Friday,04-May-2018,00:01,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,79,-,-,-,13,5,3,15,3,3,-,-,-,19
,196,S,310,A,44,55,6,7,40,4,5,47,5,6,-,-,-,60
,196,S,311,ABE,44,19,3,3,41,6,6,32,5,5,0,0,0,42
,196,S,312,D,29,22,3,2,40,2,4,32,4,4,31,3,3,45
,197,L,71,ABF,48,25,5,4,34,6,6,-,-,-,-,-,-,380
,197,L,72,ABF,48,31,6,5,9,2,1,-,-,-,-,-,-,220
A=<18,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:02,SS,6M+,PL,5.3,PV,6.3,CL,108,+5,RL,86,SA,20,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,44,8,7,23,5,4,21,5,4,0,0,0,33
,183,S,21,B,36,59,8,7,31,4,4,0,0,0,-,-,-,47
,184,S,161,A,85,14,5,4,36,13,11,22,9,8,0,0,0,31
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,5
,183,S,183,B,36,59,8,7,31,4,4,-,-,-,-,-,-,47
,183,L,7,AC,54,44,8,7,-,-,-,-,-,-,-,-,-,200
A=<35,B=46,C=#20
Friday,04-May-2018,00:02,SS,10M+,PL,4.2,PV,4.2,CL,108,+5,RL,72,SA,20,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,17,6,4,16,6,4,18,6,4,-,-,-,18
,354,S,31,B,26,20,2,2,49,6,5,0,0,0,-,-,-,30
,182,S,34,A,18,0,0,0,20,4,1,-,-,-,-,-,-,17
,2,L,14,AD,62,42,7,8,35,10,10,-,-,-,-,-,-,1000
,2,L,15,AD,62,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,04-May-2018,00:02,SS,58M+,PL,3.3,PV,3.3,CL,108,+6,RL,72,SA,201,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,31,12,10,7,3,2,29,12,9,0,0,0,26
,288,S,270,B,11,0,0,0,28,2,1,-,-,-,-,-,-,13
A=<74,B=#28
Friday,04-May-2018,00:02,SS,85M+,PL,8.3,PV,8.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,83,-,-,-,28,8,7,0,0,0,-,-,-,21
,196,S,310,A,30,49,5,4,49,4,4,86,6,7,-,-,-,69
,196,S,311,ABE,29,13,2,1,27,3,2,40,5,4,23,3,3,41
,196,S,312,D,34,70,6,7,52,5,5,63,8,8,0,0,0,54
,197,L,71,ABF,31,44,6,5,63,5,8,-,-,-,-,-,-,400
,197,L,72,ABF,31,31,3,3,51,5,5,-,-,-,-,-,-,240
A=<18,B=20,C=#25,D=20,E=17
