Strategic,Monitor,On,Tuesday,08-May-2018,filename:CCITY_20180508

Tuesday,08-May-2018,00:00,SS,28M+,PL,3.3,PV,8.3,CL,70-19,RL,58,SA,90,DS,95
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,20,0,0,0,31,2,2,-,-,-,-,-,-,24
,48,S,90,A,20,-,-,-,-,-,-,95,7,8,-,-,-,62
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,30
,48,S,213,A,20,-,-,-,-,-,-,95,7,8,-,-,-,62
,48,L,23,A,20,0,0,0,31,2,2,-,-,-,-,-,-,200
,48,L,49,A,20,-,-,-,-,-,-,95,7,8,-,-,-,380
A=<29,B=40,C=#22
Tuesday,08-May-2018,00:00,SS,3M+,PL,5.3,PV,5.3,CL,86,+0,RL,69,SA,200,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,107,9,3,4,-,-,-,-,-,-,-,-,-,6
,145,S,10,C,15,34,2,2,37,2,2,0,0,0,-,-,-,17
,145,S,133,AB,91,7,4,3,17,6,5,-,-,-,-,-,-,12
,145,S,204,AB,91,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,91,7,4,3,17,6,5,-,-,-,-,-,-,12
,145,S,212,AC,107,9,3,4,-,-,-,-,-,-,-,-,-,6
,145,L,4,AB,91,7,4,3,17,6,5,-,-,-,-,-,-,220
A=<44,B=#23,C=29
Tuesday,08-May-2018,00:00,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,6,2,1,6,2,1,0,0,0,-,-,-,9
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,5
,182,S,34,A,26,11,2,1,23,3,2,-,-,-,-,-,-,14
,2,L,14,AD,63,13,3,3,14,4,4,-,-,-,-,-,-,600
,2,L,15,AD,63,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Tuesday,08-May-2018,00:01,SS,28M+,PL,8.3,PV,8.3,CL,72,+0,RL,74,SA,90,DS,158
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,9,0,0,0,0,0,0,-,-,-,-,-,-,14
,48,S,90,A,9,-,-,-,-,-,-,158,4,6,-,-,-,109
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,17
,48,S,213,A,9,-,-,-,-,-,-,158,4,6,-,-,-,109
,48,L,23,A,9,0,0,0,0,0,0,-,-,-,-,-,-,80
,48,L,49,A,9,-,-,-,-,-,-,158,4,6,-,-,-,340
A=<41,B=28,C=#22
Tuesday,08-May-2018,00:01,SS,23M+,PL,1.3,PV,2.4,CL,100+19,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,53,19,6,5,35,7,8,35,8,8,-,-,-,29
,152,S,131,A,53,6,2,1,6,2,1,-,-,-,-,-,-,12
,152,S,132,C,16,0,0,0,19,2,1,24,2,1,-,-,-,20
,193,L,57,ABCE,41,0,0,0,40,6,6,0,0,0,-,-,-,360
,193,L,58,AE,19,23,2,1,56,4,4,0,0,0,-,-,-,640
A=<74,B=1,C=26,D=1
Tuesday,08-May-2018,00:02,SS,3M+,PL,5.3,PV,0.3,CL,86,+0,RL,69,SA,201,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,83,7,2,2,-,-,-,-,-,-,-,-,-,6
,145,S,10,C,13,12,2,1,15,2,1,0,0,0,-,-,-,19
,145,S,133,AB,71,8,3,3,6,2,2,-,-,-,-,-,-,11
,145,S,204,AB,71,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,71,8,3,3,6,2,2,-,-,-,-,-,-,11
,145,S,212,AC,83,7,2,2,-,-,-,-,-,-,-,-,-,6
,145,L,4,AB,71,8,3,3,6,2,2,-,-,-,-,-,-,240
A=<44,B=#23,C=29
Tuesday,08-May-2018,00:02,SS,10M+,PL,1.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,6,2,1,6,2,1,0,0,0,-,-,-,7
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,3
,182,S,34,A,15,0,0,0,0,0,0,-,-,-,-,-,-,8
,2,L,14,AD,61,8,2,2,10,3,3,-,-,-,-,-,-,500
,2,L,15,AD,61,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Tuesday,08-May-2018,00:02,SS,28M+,PL,8.3,PV,8.2,CL,74,+0,RL,82,SA,90,DS,98
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,49,0,0,0,27,6,5,-,-,-,-,-,-,19
,48,S,90,A,49,-,-,-,-,-,-,98,3,20,-,-,-,117
,48,S,91,BC,17,0,0,0,20,2,1,-,-,-,-,-,-,9
,48,S,213,A,49,-,-,-,-,-,-,98,3,20,-,-,-,117
,48,L,23,A,49,0,0,0,27,6,5,-,-,-,-,-,-,140
,48,L,49,A,49,-,-,-,-,-,-,98,3,20,-,-,-,640
A=<42,B=28,C=#22
Tuesday,08-May-2018,00:03,SS,23M+,PL,3.3,PV,3.2,CL,98,+7,RL,61,SA,130,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,62,18,7,5,22,7,6,14,4,4,-,-,-,27
,152,S,131,A,62,6,2,1,0,0,0,-,-,-,-,-,-,6
,152,S,132,C,20,29,3,2,0,0,0,0,0,0,-,-,-,21
,193,L,57,ABCE,33,0,0,0,39,5,5,96,3,11,-,-,-,460
,193,L,58,AE,12,0,0,0,0,0,0,0,0,0,-,-,-,300
A=<68,B=1,C=32,D=1
Tuesday,08-May-2018,00:03,SS,3M+,PL,5.3,PV,0.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,76,8,2,2,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,14,12,2,1,0,0,0,0,0,0,-,-,-,18
,145,S,133,AB,63,4,2,1,0,0,0,-,-,-,-,-,-,8
,145,S,204,AB,63,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,63,4,2,1,0,0,0,-,-,-,-,-,-,8
,145,S,212,AC,76,8,2,2,-,-,-,-,-,-,-,-,-,8
