Strategic,Monitor,On,Thursday,10-May-2018,filename:CCITY_20180510

Thursday,10-May-2018,00:00,SS,23M+,PL,3.3,PV,3.4,CL,75,-6,RL,75,SA,131,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,84,17,9,7,25,9,9,26,12,10,-,-,-,30
,152,S,131,A,84,34,4,9,20,8,6,-,-,-,-,-,-,33
,152,S,132,C,24,35,3,2,30,4,3,36,5,3,-,-,-,31
,193,L,57,ABCE,53,11,3,2,43,8,8,0,0,0,-,-,-,340
,193,L,58,AE,31,61,6,6,53,4,6,28,3,3,-,-,-,460
A=<68,B=1,C=32,D=1
Thursday,10-May-2018,00:00,SS,3M+,PL,5.3,PV,5.3,CL,86,+0,RL,69,SA,200,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,70,7,2,2,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,0,0,0,0,0,0,0,0,0,0,-,-,-,20
,145,S,133,AB,72,24,8,8,14,4,4,-,-,-,-,-,-,18
,145,S,204,AB,72,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,72,24,8,8,14,4,4,-,-,-,-,-,-,18
,145,S,212,AC,70,7,2,2,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,72,24,8,8,14,4,4,-,-,-,-,-,-,360
A=<44,B=#23,C=29
Thursday,10-May-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,54,17,5,3,13,4,2,0,0,0,-,-,-,16
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,6
,182,S,34,A,15,6,2,0,15,3,1,-,-,-,-,-,-,20
,2,L,14,AD,50,16,3,3,28,6,6,-,-,-,-,-,-,960
,2,L,15,AD,50,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,10-May-2018,00:01,SS,28M+,PL,8.2,PV,8.2,CL,103,+0,RL,98,SA,51,DS,157
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,55,35,8,7,20,5,4,-,-,-,-,-,-,44
,48,S,90,A,55,-,-,-,-,-,-,67,10,15,-,-,-,116
,48,S,91,BC,41,63,3,9,32,6,4,-,-,-,-,-,-,58
,48,S,213,A,55,-,-,-,-,-,-,67,10,15,-,-,-,116
,48,L,23,A,55,35,8,7,20,5,4,-,-,-,-,-,-,400
,48,L,49,A,55,-,-,-,-,-,-,67,10,15,-,-,-,900
A=<51,B=28,C=#22
Thursday,10-May-2018,00:01,SS,23M+,PL,3.3,PV,3.4,CL,67,+0,RL,67,SA,131,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,84,17,9,7,25,9,9,26,12,10,-,-,-,26
,152,S,131,A,84,34,4,9,20,8,6,-,-,-,-,-,-,34
,152,S,132,C,24,35,3,2,30,4,3,36,5,3,-,-,-,36
,193,L,57,ABCE,53,11,3,2,43,8,8,0,0,0,-,-,-,340
,193,L,58,AE,31,61,6,6,53,4,6,28,3,3,-,-,-,520
A=<68,B=1,C=32,D=1
Thursday,10-May-2018,00:02,SS,3M+,PL,1.3,PV,1.3,CL,88,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,86,9,3,3,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,12,16,2,1,21,2,1,0,0,0,-,-,-,21
,145,S,133,AB,73,12,5,4,9,3,2,-,-,-,-,-,-,16
,145,S,204,AB,73,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,73,12,5,4,9,3,2,-,-,-,-,-,-,16
,145,S,212,AC,86,9,3,3,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,73,12,5,4,9,3,2,-,-,-,-,-,-,300
A=<34,B=#23,C=40
Thursday,10-May-2018,00:02,SS,10M+,PL,4.2,PV,3.2,CL,88,+0,RL,69,SA,20,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,84,3,2,1,3,2,1,4,2,1,-,-,-,11
,354,S,31,B,18,10,2,1,24,3,2,0,0,0,-,-,-,11
,182,S,34,A,12,0,0,0,0,0,0,-,-,-,-,-,-,9
,2,L,14,AD,89,29,9,9,42,16,16,-,-,-,-,-,-,1700
,2,L,15,AD,89,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,10-May-2018,00:02,SS,23M+,PL,8.3,PV,8.4,CL,63,+0,RL,60,SA,131,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,79,9,5,3,15,7,5,19,9,7,-,-,-,23
,152,S,131,A,79,20,6,5,17,6,5,-,-,-,-,-,-,28
,152,S,132,C,21,133,5,8,42,4,3,41,4,3,-,-,-,80
,193,L,57,ABCE,32,0,0,0,13,2,1,0,0,0,-,-,-,200
,193,L,58,AE,12,75,3,3,49,2,2,0,0,0,-,-,-,400
A=<58,B=1,C=42,D=1
Thursday,10-May-2018,00:03,SS,28M+,PL,5.2,PV,5.2,CL,100,+0,RL,91,SA,47,DS,96
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,75,8,3,2,23,5,6,-,-,-,-,-,-,32
,48,S,90,A,75,-,-,-,-,-,-,33,7,10,-,-,-,71
,48,S,91,BC,35,0,0,0,10,2,1,-,-,-,-,-,-,35
,48,S,213,A,75,-,-,-,-,-,-,33,7,10,-,-,-,71
,48,L,23,A,75,8,3,2,23,5,6,-,-,-,-,-,-,340
,48,L,49,A,75,-,-,-,-,-,-,33,7,10,-,-,-,580
A=<44,B=34,C=#22
Thursday,10-May-2018,00:03,SS,3M+,PL,7.3,PV,7.3,CL,91,+2,RL,70,SA,201,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,72,20,5,5,-,-,-,-,-,-,-,-,-,14
,145,S,10,C,14,11,2,1,0,0,0,0,0,0,-,-,-,12
,145,S,133,AB,83,17,8,7,11,4,3,-,-,-,-,-,-,17
,145,S,204,AB,83,-,-,-,-,-,-,-,-,-,-,-,-,0
