Strategic,Monitor,On,Friday,11-May-2018,filename:CCITY_20180511

Friday,11-May-2018,00:00,SS,6M+,PL,8.3,PV,8.3,CL,94,-3,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,64,13,2,3,18,3,4,16,5,4,0,0,0,27
,183,S,21,B,39,0,0,0,0,0,0,27,5,3,-,-,-,24
,184,S,161,A,48,19,4,3,35,7,6,31,7,6,0,0,0,30
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,39,0,0,0,0,0,0,-,-,-,-,-,-,12
,183,L,7,AC,64,13,2,3,-,-,-,-,-,-,-,-,-,160
A=<27,B=52,C=#20
Friday,11-May-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,94,-3,RL,82,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,78,11,5,3,9,4,2,5,2,1,-,-,-,16
,354,S,31,B,31,45,8,5,51,10,6,14,3,2,-,-,-,37
,182,S,34,A,32,0,0,0,18,4,2,-,-,-,-,-,-,19
,2,L,14,AD,80,43,5,12,51,17,18,-,-,-,-,-,-,1600
,2,L,15,AD,80,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,11-May-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,94,+0,RL,82,SA,201,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,93,20,7,7,0,0,0,24,9,9,0,0,0,24
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<84,B=#15
Friday,11-May-2018,00:00,SS,85M+,PL,5.3,PV,3.4,CL,120,+0,RL,122,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,98,-,-,-,22,9,7,7,3,2,-,-,-,31
,196,S,310,A,55,42,5,7,58,11,9,58,6,10,-,-,-,80
,196,S,311,ABE,55,7,2,1,54,10,9,23,6,5,22,5,5,50
,196,S,312,D,37,11,2,1,45,5,5,76,9,11,41,5,4,72
,197,L,71,ABF,48,62,10,10,50,9,9,-,-,-,-,-,-,580
,197,L,72,ABF,48,33,6,5,37,5,5,-,-,-,-,-,-,380
A=<18,B=20,C=#25,D=24,E=17
Friday,11-May-2018,00:02,SS,6M+,PL,8.3,PV,5.3,CL,87,+0,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,12,3,2,19,4,4,9,3,2,12,3,3,24
,183,S,21,B,40,31,5,4,0,0,0,9,2,1,-,-,-,28
,184,S,161,A,98,8,3,3,11,4,4,10,4,4,5,2,2,22
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,40,31,5,4,0,0,0,-,-,-,-,-,-,19
,183,L,7,AC,58,12,3,2,-,-,-,-,-,-,-,-,-,120
A=<25,B=52,C=#20
Friday,11-May-2018,00:02,SS,10M+,PL,4.2,PV,4.2,CL,87,+0,RL,79,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,38,9,9,31,8,7,21,7,4,-,-,-,24
,354,S,31,B,23,8,2,1,28,4,3,10,2,1,-,-,-,36
,182,S,34,A,20,33,4,2,18,3,1,-,-,-,-,-,-,25
,2,L,14,AD,31,0,0,0,0,0,0,-,-,-,-,-,-,1100
,2,L,15,AD,31,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,11-May-2018,00:02,SS,58M+,PL,3.3,PV,3.3,CL,87,-2,RL,79,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,95,8,3,3,9,3,3,13,5,5,0,0,0,16
,288,S,270,B,14,0,0,0,69,2,3,-,-,-,-,-,-,31
A=<68,B=#28
Friday,11-May-2018,00:02,SS,85M+,PL,2.3,PV,2.3,CL,118,+0,RL,112,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,120,-,-,-,18,9,6,5,3,2,-,-,-,21
,196,S,310,A,44,65,5,9,18,3,2,65,4,9,-,-,-,61
,196,S,311,ABE,58,5,2,1,41,8,8,32,7,6,11,3,3,48
,196,S,312,D,27,48,5,4,73,7,6,106,6,11,0,0,0,90
,197,L,71,ABF,40,15,3,2,12,3,2,-,-,-,-,-,-,340
,197,L,72,ABF,40,58,7,7,70,9,8,-,-,-,-,-,-,380
A=<14,B=20,C=#25,D=27,E=18
Friday,11-May-2018,00:03,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,44,9,2,1,24,4,3,7,2,1,14,2,2,21
,183,S,21,B,38,38,6,5,0,0,0,23,4,3,-,-,-,33
,184,S,161,A,83,20,6,5,31,10,9,15,5,5,0,0,0,25
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,38,38,6,5,0,0,0,-,-,-,-,-,-,27
,183,L,7,AC,44,9,2,1,-,-,-,-,-,-,-,-,-,60
A=<31,B=46,C=#20
Friday,11-May-2018,00:03,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,74,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,20,7,5,19,7,5,9,3,2,-,-,-,24
,354,S,31,B,25,12,3,1,21,4,2,0,0,0,-,-,-,30
