Strategic,Monitor,On,Sunday,13-May-2018,filename:CCITY_20180513

Sunday,13-May-2018,00:01,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,15,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,69,40,2,9,40,10,9,25,8,7,0,0,0,40
,183,S,21,B,29,34,3,3,51,5,5,12,2,1,-,-,-,46
,184,S,161,A,85,22,8,6,35,12,11,25,10,8,5,2,1,34
,184,S,162,B,27,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,34,3,3,51,5,5,-,-,-,-,-,-,46
,183,L,7,AC,69,40,2,9,-,-,-,-,-,-,-,-,-,340
A=<31,B=46,C=#20
Sunday,13-May-2018,00:01,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,15,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,64,26,9,6,23,8,5,12,4,2,-,-,-,22
,354,S,31,B,19,25,4,2,0,0,0,0,0,0,-,-,-,29
,182,S,34,A,11,0,0,0,0,0,0,-,-,-,-,-,-,22
,2,L,14,AD,15,0,0,0,35,3,2,-,-,-,-,-,-,1800
,2,L,15,AD,15,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Sunday,13-May-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,75
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,21,7,6,10,3,2,18,7,6,0,0,0,28
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Sunday,13-May-2018,00:01,SS,85M+,PL,7.3,PV,8.3,CL,116,+0,RL,116,SA,310,DS,103
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,93,-,-,-,69,6,18,4,2,1,-,-,-,55
,196,S,310,A,62,12,3,2,58,10,10,112,5,20,-,-,-,103
,196,S,311,ABE,62,0,0,0,40,8,8,23,6,5,10,3,2,43
,196,S,312,D,38,81,8,9,17,2,2,49,9,7,8,2,1,77
,197,L,71,ABF,54,34,7,6,41,9,9,-,-,-,-,-,-,440
,197,L,72,ABF,54,36,7,6,23,5,4,-,-,-,-,-,-,360
A=<19,B=20,C=#25,D=22,E=17
Sunday,13-May-2018,00:02,SS,6M+,PL,5.3,PV,7.3,CL,88,+0,RL,86,SA,15,DS,104
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,33,5,4,23,4,3,31,6,5,0,0,0,37
,183,S,21,B,22,10,2,1,14,2,1,0,0,0,-,-,-,33
,184,S,161,A,59,39,7,8,48,9,10,34,9,8,0,0,0,42
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,22,10,2,1,14,2,1,-,-,-,-,-,-,33
,183,L,7,AC,38,33,5,4,-,-,-,-,-,-,-,-,-,280
A=<31,B=46,C=#20
Sunday,13-May-2018,00:02,SS,10M+,PL,3.2,PV,4.2,CL,88,+0,RL,69,SA,15,DS,104
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,24,9,5,24,9,6,10,3,2,-,-,-,23
,354,S,31,B,24,33,5,3,34,4,3,11,2,1,-,-,-,30
,182,S,34,A,16,0,0,0,20,3,1,-,-,-,-,-,-,17
,2,L,14,AD,91,28,8,9,26,8,10,-,-,-,-,-,-,1700
,2,L,15,AD,91,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Sunday,13-May-2018,00:02,SS,58M+,PL,1.3,PV,1.3,CL,88,-2,RL,69,SA,201,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,36,13,12,11,4,3,19,8,7,0,0,0,32
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Sunday,13-May-2018,00:03,SS,85M+,PL,8.3,PV,8.4,CL,118,+0,RL,127,SA,310,DS,137
