Strategic,Monitor,On,Wednesday,16-May-2018,filename:CCITY_20180516

Wednesday,16-May-2018,00:00,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,60,SA,51,DS,128
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,41,12,2,2,12,2,2,-,-,-,-,-,-,24
,48,S,90,A,41,-,-,-,-,-,-,37,6,6,-,-,-,56
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,14
,48,S,213,A,41,-,-,-,-,-,-,37,6,6,-,-,-,56
,48,L,23,A,41,12,2,2,12,2,2,-,-,-,-,-,-,320
,48,L,49,A,41,-,-,-,-,-,-,37,6,6,-,-,-,580
A=<35,B=28,C=#22
Wednesday,16-May-2018,00:00,SS,23M+,PL,7.3,PV,7.3,CL,60,+0,RL,46,SA,70,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,32,0,0,0,26,4,4,0,0,0,-,-,-,30
,152,S,131,A,32,27,4,3,11,2,1,-,-,-,-,-,-,31
,152,S,132,C,21,55,3,3,0,0,0,0,0,0,-,-,-,47
,193,L,57,ABCE,47,12,2,2,34,5,5,0,0,0,-,-,-,280
,193,L,58,AE,25,27,2,2,0,0,0,0,0,0,-,-,-,140
A=<61,B=1,C=39,D=1
Wednesday,16-May-2018,00:01,SS,3M+,PL,8.3,PV,8.3,CL,86,+0,RL,69,SA,200,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,66,19,5,5,-,-,-,-,-,-,-,-,-,17
,145,S,10,C,13,9,2,0,11,2,1,0,0,0,-,-,-,21
,145,S,133,AB,78,9,4,3,13,4,3,-,-,-,-,-,-,10
,145,S,204,AB,78,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,78,9,4,3,13,4,3,-,-,-,-,-,-,10
,145,S,212,AC,66,19,5,5,-,-,-,-,-,-,-,-,-,17
,145,L,4,AB,78,9,4,3,13,4,3,-,-,-,-,-,-,180
A=<54,B=#23,C=19
Wednesday,16-May-2018,00:01,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,10,4,2,10,4,2,13,5,3,-,-,-,14
,354,S,31,B,15,13,2,1,15,2,1,0,0,0,-,-,-,24
,182,S,34,A,27,0,0,0,6,2,1,-,-,-,-,-,-,6
,2,L,14,AD,56,7,2,1,13,4,3,-,-,-,-,-,-,700
,2,L,15,AD,56,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,16-May-2018,00:01,SS,28M+,PL,8.3,PV,7.2,CL,60,+0,RL,60,SA,47,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,47,0,0,0,7,2,1,-,-,-,-,-,-,12
,48,S,90,A,47,-,-,-,-,-,-,58,4,11,-,-,-,54
,48,S,91,BC,15,0,0,0,15,2,1,-,-,-,-,-,-,10
,48,S,213,A,47,-,-,-,-,-,-,58,4,11,-,-,-,54
,48,L,23,A,47,0,0,0,7,2,1,-,-,-,-,-,-,160
,48,L,49,A,47,-,-,-,-,-,-,58,4,11,-,-,-,580
A=<35,B=28,C=#22
Wednesday,16-May-2018,00:01,SS,23M+,PL,3.3,PV,3.3,CL,60,+0,RL,60,SA,130,DS,48
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,35,0,0,0,48,8,7,9,2,1,-,-,-,37
,152,S,131,A,35,28,4,3,10,2,1,-,-,-,-,-,-,29
,152,S,132,C,19,0,0,0,0,0,0,27,3,2,-,-,-,38
,193,L,57,ABCE,66,9,3,2,13,3,3,10,3,2,-,-,-,240
,193,L,58,AE,44,10,2,1,12,2,2,0,0,0,-,-,-,80
A=<68,B=1,C=32,D=1
Wednesday,16-May-2018,00:02,SS,28M+,PL,6.2,PV,6.2,CL,60-13,RL,60,SA,47,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,51,0,0,0,17,4,3,-,-,-,-,-,-,13
,48,S,90,A,51,-,-,-,-,-,-,30,3,6,-,-,-,41
,48,S,91,BC,22,17,3,1,18,3,1,-,-,-,-,-,-,13
,48,S,213,A,51,-,-,-,-,-,-,30,3,6,-,-,-,41
,48,L,23,A,51,0,0,0,17,4,3,-,-,-,-,-,-,160
,48,L,49,A,51,-,-,-,-,-,-,30,3,6,-,-,-,460
A=<31,B=32,C=#22
Wednesday,16-May-2018,00:02,SS,23M+,PL,3.3,PV,4.3,CL,60,+5,RL,60,SA,130,DS,53
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,44,0,0,0,53,10,10,9,2,2,-,-,-,45
,152,S,131,A,44,8,2,1,7,2,1,-,-,-,-,-,-,19
,152,S,132,C,19,50,3,3,38,3,3,47,3,3,-,-,-,44
,193,L,57,ABCE,66,9,3,2,13,3,3,10,3,2,-,-,-,240
,193,L,58,AE,44,10,2,1,12,2,2,0,0,0,-,-,-,100
A=<68,B=1,C=32,D=1
Wednesday,16-May-2018,00:02,SS,3M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,200,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,81,19,6,6,-,-,-,-,-,-,-,-,-,17
,145,S,10,C,16,55,3,3,37,2,3,0,0,0,-,-,-,36
,145,S,133,AB,66,4,2,1,10,3,2,-,-,-,-,-,-,10
,145,S,204,AB,66,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,66,4,2,1,10,3,2,-,-,-,-,-,-,10
,145,S,212,AC,81,19,6,6,-,-,-,-,-,-,-,-,-,17
,145,L,4,AB,66,4,2,1,10,3,2,-,-,-,-,-,-,160
A=<36,B=#23,C=37
Wednesday,16-May-2018,00:02,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,7,3,2,5,2,1,14,5,3,-,-,-,15
,354,S,31,B,16,15,2,1,0,0,0,0,0,0,-,-,-,19
,182,S,34,A,20,7,2,0,0,0,0,-,-,-,-,-,-,5
,2,L,14,AD,54,33,8,6,29,6,7,-,-,-,-,-,-,960
,2,L,15,AD,54,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,16-May-2018,00:03,SS,28M+,PL,6.2,PV,8.3,CL,60-13,RL,57,SA,89,DS,103
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,8,103,2,3,0,0,0,-,-,-,-,-,-,54
,48,S,90,A,8,-,-,-,-,-,-,0,0,0,-,-,-,23
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,9
,48,S,213,A,8,-,-,-,-,-,-,0,0,0,-,-,-,23
,48,L,23,A,8,103,2,3,0,0,0,-,-,-,-,-,-,160
,48,L,49,A,8,-,-,-,-,-,-,0,0,0,-,-,-,260
A=<31,B=32,C=#22
Wednesday,16-May-2018,00:03,SS,23M+,PL,6.3,PV,6.2,CL,60,+0,RL,60,SA,130,DS,52
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,45,0,0,0,52,11,10,0,0,0,-,-,-,51
,152,S,131,A,45,35,6,5,12,3,2,-,-,-,-,-,-,25
,152,S,132,C,19,56,4,3,15,2,1,0,0,0,-,-,-,48
,193,L,57,ABCE,53,11,3,2,47,8,9,45,8,8,-,-,-,440
,193,L,58,AE,31,45,4,4,37,3,4,53,5,6,-,-,-,280
A=<63,B=1,C=37,D=1
Wednesday,16-May-2018,00:04,SS,3M+,PL,5.3,PV,5.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,100,6,2,2,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,15,14,2,1,0,0,0,0,0,0,-,-,-,27
,145,S,133,AB,86,8,5,3,19,7,6,-,-,-,-,-,-,15
,145,S,204,AB,86,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,86,8,5,3,19,7,6,-,-,-,-,-,-,15
,145,S,212,AC,100,6,2,2,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,86,8,5,3,19,7,6,-,-,-,-,-,-,260
A=<44,B=#23,C=29
Wednesday,16-May-2018,00:04,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,18,7,4,18,7,4,11,4,2,-,-,-,16
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,8
,182,S,34,A,11,5,2,0,0,0,0,-,-,-,-,-,-,6
,2,L,14,AD,70,12,4,3,16,5,5,-,-,-,-,-,-,900
,2,L,15,AD,70,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,16-May-2018,00:04,SS,28M+,PL,2.2,PV,2.3,CL,60,+0,RL,53,SA,47,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,43,0,0,0,16,3,2,-,-,-,-,-,-,45
,48,S,90,A,43,-,-,-,-,-,-,21,5,4,-,-,-,16
,48,S,91,BC,38,72,2,9,9,2,1,-,-,-,-,-,-,36
,48,S,213,A,43,-,-,-,-,-,-,21,5,4,-,-,-,16
,48,L,23,A,43,0,0,0,16,3,2,-,-,-,-,-,-,160
,48,L,49,A,43,-,-,-,-,-,-,21,5,4,-,-,-,180
A=<19,B=44,C=#22
Wednesday,16-May-2018,00:04,SS,23M+,PL,6.3,PV,6.2,CL,60,+0,RL,60,SA,130,DS,52
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,45,0,0,0,52,11,10,0,0,0,-,-,-,52
,152,S,131,A,45,35,6,5,12,3,2,-,-,-,-,-,-,29
,152,S,132,C,19,56,4,3,15,2,1,0,0,0,-,-,-,55
,193,L,57,ABCE,60,6,2,1,17,4,4,22,5,5,-,-,-,440
,193,L,58,AE,38,18,2,2,17,3,2,23,3,3,-,-,-,300
A=<63,B=1,C=37,D=1
Wednesday,16-May-2018,00:05,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,74,24,6,7,-,-,-,-,-,-,-,-,-,17
,145,S,10,C,20,47,4,4,0,0,0,0,0,0,-,-,-,38
,145,S,133,AB,55,13,4,3,17,4,3,-,-,-,-,-,-,16
,145,S,204,AB,55,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,55,13,4,3,17,4,3,-,-,-,-,-,-,16
,145,S,212,AC,74,24,6,7,-,-,-,-,-,-,-,-,-,17
