Strategic,Monitor,On,Thursday,17-May-2018,filename:CCITY_20180517

Thursday,17-May-2018,00:00,SS,85M+,PL,5.4,PV,5.4,CL,120,+0,RL,107,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,80,-,-,-,25,6,6,11,3,2,-,-,-,26
,196,S,310,A,58,26,4,4,33,5,6,51,5,8,-,-,-,68
,196,S,311,ABE,58,7,2,2,36,6,6,32,4,6,6,2,1,32
,196,S,312,D,33,0,0,0,31,4,3,45,7,6,13,2,1,51
,197,L,71,ABF,48,34,7,6,27,6,5,-,-,-,-,-,-,440
,197,L,72,ABF,48,21,4,3,23,5,3,-,-,-,-,-,-,160
A=<18,B=20,C=#25,D=24,E=17
Thursday,17-May-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,104,+0,RL,90,SA,15,DS,99
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,72,17,5,4,29,8,7,34,10,9,11,4,3,35
,183,S,21,B,39,27,2,3,76,7,10,8,2,1,-,-,-,51
,184,S,161,A,107,12,5,4,28,11,10,32,15,14,16,6,5,33
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,39,27,2,3,76,7,10,-,-,-,-,-,-,51
,183,L,7,AC,72,17,5,4,-,-,-,-,-,-,-,-,-,180
A=<33,B=48,C=#20
Thursday,17-May-2018,00:01,SS,10M+,PL,4.2,PV,4.2,CL,104,+0,RL,89,SA,15,DS,99
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,91,24,10,7,16,8,5,4,2,1,-,-,-,23
,354,S,31,B,29,40,4,4,0,0,0,0,0,0,-,-,-,34
,182,S,34,A,64,8,2,2,0,0,0,-,-,-,-,-,-,8
,2,L,14,AD,59,23,4,5,42,11,11,-,-,-,-,-,-,1100
,2,L,15,AD,59,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,17-May-2018,00:01,SS,58M+,PL,3.3,PV,4.3,CL,104,+0,RL,89,SA,201,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,106,26,12,10,6,2,2,17,8,7,0,0,0,32
,288,S,270,B,11,0,0,0,22,2,1,-,-,-,-,-,-,16
A=<75,B=#26
Thursday,17-May-2018,00:02,SS,85M+,PL,6.4,PV,6.4,CL,120,+0,RL,107,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,81,-,-,-,44,12,10,5,2,1,-,-,-,34
,196,S,310,A,58,26,4,4,33,5,6,51,5,8,-,-,-,64
,196,S,311,ABE,58,7,2,2,36,6,6,32,4,6,6,2,1,34
,196,S,312,D,33,0,0,0,31,4,3,45,7,6,13,2,1,47
,197,L,71,ABF,53,32,6,6,34,7,7,-,-,-,-,-,-,420
,197,L,72,ABF,53,7,2,1,28,4,5,-,-,-,-,-,-,180
A=<19,B=20,C=#25,D=23,E=17
Thursday,17-May-2018,00:03,SS,6M+,PL,6.3,PV,6.3,CL,102,+0,RL,88,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,72,17,5,4,29,8,7,34,10,9,11,4,3,34
,183,S,21,B,37,20,3,2,45,6,6,22,3,3,-,-,-,50
,184,S,161,A,99,14,5,5,34,12,11,19,8,7,10,3,3,34
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,37,20,3,2,45,6,6,-,-,-,-,-,-,50
,183,L,7,AC,72,17,5,4,-,-,-,-,-,-,-,-,-,140
A=<32,B=48,C=#20
Thursday,17-May-2018,00:03,SS,10M+,PL,4.2,PV,4.2,CL,102,+0,RL,87,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,74,29,10,7,30,10,7,10,4,2,-,-,-,27
,354,S,31,B,21,21,3,2,7,2,1,0,0,0,-,-,-,27
,182,S,34,A,80,5,2,1,0,0,0,-,-,-,-,-,-,7
,2,L,14,AD,100,30,6,10,46,18,20,-,-,-,-,-,-,1660
,2,L,15,AD,100,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,17-May-2018,00:03,SS,58M+,PL,3.3,PV,3.3,CL,102,+0,RL,87,SA,201,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,94,31,12,11,11,3,3,21,9,8,0,0,0,33
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,7
A=<76,B=#24
Thursday,17-May-2018,00:04,SS,85M+,PL,6.4,PV,5.3,CL,120,+0,RL,107,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,45,-,-,-,52,8,6,7,2,1,-,-,-,43
,196,S,310,A,41,0,0,0,41,5,5,58,5,6,-,-,-,54
,196,S,311,ABE,40,10,2,2,26,4,3,31,5,4,10,2,2,34
,196,S,312,D,38,41,5,5,34,4,4,74,9,11,15,3,2,58
,197,L,71,ABF,45,25,5,4,42,6,7,-,-,-,-,-,-,340
,197,L,72,ABF,45,37,4,5,30,4,4,-,-,-,-,-,-,220
