Strategic,Monitor,On,Monday,21-May-2018,filename:CCITY_20180521

Monday,21-May-2018,00:00,SS,85M+,PL,3.4,PV,2.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,76,-,-,-,12,4,2,8,3,2,-,-,-,17
,196,S,310,A,47,21,3,3,33,6,5,26,4,3,-,-,-,38
,196,S,311,ABE,47,16,2,3,35,5,5,27,5,4,8,2,1,38
,196,S,312,D,28,0,0,0,12,2,1,30,5,3,19,3,2,42
,197,L,71,ABF,43,25,5,4,17,4,3,-,-,-,-,-,-,320
,197,L,72,ABF,43,30,5,4,14,3,2,-,-,-,-,-,-,280
A=<11,B=20,C=#25,D=26,E=18
Monday,21-May-2018,00:00,SS,6M+,PL,6.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,69,14,4,3,7,2,2,10,3,3,6,2,2,16
,183,S,21,B,23,19,2,1,13,2,1,0,0,0,-,-,-,24
,184,S,161,A,84,9,3,3,15,5,4,11,5,4,0,0,0,17
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,23,19,2,1,13,2,1,-,-,-,-,-,-,24
,183,L,7,AC,69,14,4,3,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Monday,21-May-2018,00:00,SS,10M+,PL,3.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,0,0,0,0,0,0,0,0,0,-,-,-,8
,354,S,31,B,20,22,4,2,28,4,2,0,0,0,-,-,-,24
,182,S,34,A,11,0,0,0,0,0,0,-,-,-,-,-,-,3
,2,L,14,AD,69,7,2,2,38,10,11,-,-,-,-,-,-,1260
,2,L,15,AD,69,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Monday,21-May-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,18,7,6,0,0,0,17,7,6,0,0,0,16
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Monday,21-May-2018,00:01,SS,6M+,PL,4.3,PV,4.3,CL,88,+0,RL,86,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,0,0,0,21,5,4,14,4,3,0,0,0,18
,183,S,21,B,30,18,3,2,30,4,3,0,0,0,-,-,-,26
,184,S,161,A,86,0,0,0,15,5,4,17,7,6,0,0,0,17
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,18,3,2,30,4,3,-,-,-,-,-,-,26
,183,L,7,AC,55,0,0,0,-,-,-,-,-,-,-,-,-,60
A=<33,B=44,C=#20
Monday,21-May-2018,00:01,SS,10M+,PL,4.2,PV,4.2,CL,88,+0,RL,69,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,7,3,1,5,2,1,0,0,0,-,-,-,5
,354,S,31,B,22,15,2,1,40,5,3,0,0,0,-,-,-,31
,182,S,34,A,82,5,2,1,10,4,3,-,-,-,-,-,-,7
,2,L,14,AD,39,0,0,0,22,5,4,-,-,-,-,-,-,800
,2,L,15,AD,39,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,21-May-2018,00:01,SS,58M+,PL,4.3,PV,4.3,CL,88,+0,RL,69,SA,200,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,12,4,3,6,2,1,5,2,1,0,0,0,15
,288,S,270,B,14,29,2,1,68,3,3,-,-,-,-,-,-,31
A=<64,B=#32
Monday,21-May-2018,00:01,SS,85M+,PL,2.4,PV,2.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,84,-,-,-,8,3,2,0,0,0,-,-,-,13
,196,S,310,A,44,27,3,3,36,4,5,0,0,0,-,-,-,35
,196,S,311,ABE,44,7,2,1,40,5,5,35,3,5,11,2,2,39
,196,S,312,D,29,18,3,2,9,2,1,32,4,4,0,0,0,34
,197,L,71,ABF,48,26,6,4,38,9,7,-,-,-,-,-,-,320
,197,L,72,ABF,48,31,5,5,32,5,5,-,-,-,-,-,-,300
A=<10,B=20,C=#25,D=27,E=18
Monday,21-May-2018,00:03,SS,6M+,PL,4.3,PV,4.3,CL,100,+2,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,81,9,3,2,12,3,3,18,6,6,0,0,0,18
,183,S,21,B,26,14,3,1,26,3,2,0,0,0,-,-,-,26
,184,S,161,A,84,8,3,2,9,3,3,12,5,4,0,0,0,14
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,14,3,1,26,3,2,-,-,-,-,-,-,26
,183,L,7,AC,81,9,3,2,-,-,-,-,-,-,-,-,-,60
A=<36,B=44,C=#20
Monday,21-May-2018,00:03,SS,10M+,PL,4.2,PV,4.2,CL,100,+2,RL,70,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,10,2,2,11,2,2,0,0,0,-,-,-,7
,354,S,31,B,19,22,3,2,23,3,2,0,0,0,-,-,-,30
,182,S,34,A,24,43,2,3,21,3,2,-,-,-,-,-,-,23
,2,L,14,AD,56,10,3,2,13,4,3,-,-,-,-,-,-,660
,2,L,15,AD,56,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,21-May-2018,00:03,SS,58M+,PL,4.3,PV,3.3,CL,100,+3,RL,70,SA,200,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,24,7,7,0,0,0,12,4,3,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,22
A=<70,B=#30
Monday,21-May-2018,00:03,SS,85M+,PL,2.3,PV,6.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,91,-,-,-,15,6,4,0,0,0,-,-,-,12
,196,S,310,A,46,22,3,3,43,6,6,41,6,5,-,-,-,38
,196,S,311,ABE,46,0,0,0,20,4,3,30,4,5,73,3,13,54
,196,S,312,D,28,25,2,2,11,2,1,41,5,4,0,0,0,36
,197,L,71,ABF,52,23,6,4,21,6,4,-,-,-,-,-,-,300
,197,L,72,ABF,52,18,3,3,19,4,3,-,-,-,-,-,-,260
A=<10,B=20,C=#25,D=27,E=18
Monday,21-May-2018,00:04,SS,6M+,PL,4.3,PV,3.3,CL,92,-2,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,43,0,0,0,23,4,3,8,2,1,0,0,0,21
,183,S,21,B,25,9,2,1,22,3,2,0,0,0,-,-,-,25
,184,S,161,A,84,8,3,2,9,3,3,12,5,4,0,0,0,13
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,25,9,2,1,22,3,2,-,-,-,-,-,-,25
,183,L,7,AC,43,0,0,0,-,-,-,-,-,-,-,-,-,20
A=<34,B=44,C=#20
