Strategic,Monitor,On,Tuesday,29-May-2018,filename:CCITY_20180529

Tuesday,29-May-2018,00:00,SS,28M+,PL,7.3,PV,7.3,CL,60,+0,RL,44,SA,47,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,40,9,2,2,0,0,0,-,-,-,-,-,-,11
,48,S,90,A,40,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,14,21,3,1,0,0,0,-,-,-,-,-,-,23
,48,S,213,A,40,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,40,9,2,2,0,0,0,-,-,-,-,-,-,140
,48,L,49,A,40,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<33,B=30,C=#22
Tuesday,29-May-2018,00:00,SS,3M+,PL,2.3,PV,18.3,CL,86,+0,RL,69,SA,201,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,97,14,5,5,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,13,0,0,0,21,3,1,0,0,0,-,-,-,14
,145,S,133,AB,83,11,6,4,14,5,4,-,-,-,-,-,-,14
,145,S,204,AB,83,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,83,11,6,4,14,5,4,-,-,-,-,-,-,14
,145,S,212,AC,97,14,5,5,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,83,11,6,4,14,5,4,-,-,-,-,-,-,280
A=<35,B=#23,C=38
Tuesday,29-May-2018,00:00,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,41,27,4,4,13,3,2,9,2,1,-,-,-,27
,354,S,31,B,14,0,0,0,14,2,1,0,0,0,-,-,-,17
,182,S,34,A,48,0,0,0,53,7,9,-,-,-,-,-,-,37
A=<47,B=53
Tuesday,29-May-2018,00:00,SS,23M+,PL,6.2,PV,7.2,CL,60,+2,RL,60,SA,130,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,33,19,4,3,24,4,3,20,4,3,-,-,-,17
,152,S,131,A,33,0,0,0,10,2,1,-,-,-,-,-,-,15
,152,S,132,C,21,43,3,3,32,3,3,14,2,1,-,-,-,27
,193,L,57,ABCE,58,0,0,0,7,2,1,7,2,1,-,-,-,560
,193,L,58,AE,36,0,0,0,10,2,1,17,3,2,-,-,-,380
A=<63,B=1,C=37,D=1
Tuesday,29-May-2018,00:01,SS,28M+,PL,6.3,PV,6.3,CL,60,+0,RL,44,SA,50,DS,94
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,46,0,0,0,32,6,5,-,-,-,-,-,-,19
,48,S,90,A,46,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,36,10,2,1,24,4,3,-,-,-,-,-,-,22
,48,S,213,A,46,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,46,0,0,0,32,6,5,-,-,-,-,-,-,200
,48,L,49,A,46,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<31,B=32,C=#22
Tuesday,29-May-2018,00:01,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,46,11,2,2,0,0,0,0,0,0,-,-,-,24
,354,S,31,B,24,43,4,4,21,3,2,14,2,1,-,-,-,28
,182,S,34,A,48,0,0,0,53,7,9,-,-,-,-,-,-,43
A=<47,B=53
Tuesday,29-May-2018,00:01,SS,23M+,PL,2.2,PV,2.2,CL,60,+0,RL,60,SA,130,DS,48
