Strategic,Monitor,On,Sunday,03-June-2018,filename:CCITY_20180603

Sunday,03-June-2018,00:00,SS,6M+,PL,3.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,25,5,4,22,4,4,6,2,1,0,0,0,33
,183,S,21,B,29,53,5,5,48,5,5,22,3,2,-,-,-,55
,184,S,161,A,85,15,5,4,31,10,9,14,6,5,0,0,0,33
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,53,5,5,48,5,5,-,-,-,-,-,-,55
,183,L,7,AC,55,25,5,4,-,-,-,-,-,-,-,-,-,180
A=<35,B=42,C=#20
Sunday,03-June-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,19,7,6,6,2,2,12,5,4,0,0,0,23
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Sunday,03-June-2018,00:00,SS,10,-,PL,3.2,PV,3.2,CL,60,-6,RL,60,SA,30,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,42,17,3,2,17,3,2,25,4,3,-,-,-,27
,354,S,31,B,17,15,2,1,23,2,2,0,0,0,-,-,-,28
,182,S,34,A,40,18,3,2,26,3,4,-,-,-,-,-,-,56
A=<53,B=47
Sunday,03-June-2018,00:01,SS,85M+,PL,8.3,PV,8.3,CL,120,+1,RL,127,SA,310,DS,128
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,85,-,-,-,47,13,12,8,2,2,-,-,-,38
,196,S,310,A,54,66,7,10,31,4,5,89,2,13,-,-,-,128
,196,S,311,ABE,54,13,3,3,76,12,13,44,8,8,17,4,3,65
,196,S,312,D,40,86,9,10,52,7,7,79,13,12,26,4,3,70
,197,L,71,ABF,40,43,7,6,29,6,5,-,-,-,-,-,-,420
,197,L,72,ABF,40,53,8,7,61,8,8,-,-,-,-,-,-,320
A=<22,B=20,C=#25,D=20,E=17
Sunday,03-June-2018,00:01,SS,10,-,PL,3.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,79,29,11,7,26,11,7,10,4,2,-,-,-,28
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,15
,182,S,34,A,42,10,2,1,27,4,4,-,-,-,-,-,-,38
A=<53,B=47
Sunday,03-June-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,18,4,3,25,6,4,25,5,6,15,2,3,28
,183,S,21,B,29,60,6,6,45,6,5,19,3,2,-,-,-,59
,184,S,161,A,85,15,5,4,47,15,14,24,9,8,7,2,2,38
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,60,6,6,45,6,5,-,-,-,-,-,-,59
,183,L,7,AC,57,18,4,3,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Sunday,03-June-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,33,13,10,10,4,3,28,12,10,0,0,0,26
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Sunday,03-June-2018,00:02,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,20,28,3,2,26,3,2,0,0,0,-,-,-,28
,354,S,31,B,22,24,2,2,25,3,2,0,0,0,-,-,-,16
,182,S,34,A,42,10,2,1,27,4,4,-,-,-,-,-,-,27
A=<47,B=53
Sunday,03-June-2018,00:03,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,15,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,51,10,8,38,8,7,35,9,8,6,2,1,37
,183,S,21,B,34,55,7,6,58,7,7,10,2,1,-,-,-,58
,184,S,161,A,85,24,8,6,48,15,14,32,13,11,9,3,2,44
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,55,7,6,58,7,7,-,-,-,-,-,-,58
,183,L,7,AC,57,51,10,8,-,-,-,-,-,-,-,-,-,220
A=<29,B=48,C=#20
Sunday,03-June-2018,00:03,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,200,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,23,7,7,0,0,0,22,8,7,0,0,0,25
,288,S,270,B,13,66,2,3,0,0,0,-,-,-,-,-,-,30
A=<67,B=#28
Sunday,03-June-2018,00:03,SS,85M+,PL,8.3,PV,8.3,CL,120,+1,RL,133,SA,310,DS,133
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,74,-,-,-,45,10,10,15,5,3,-,-,-,42
,196,S,310,A,26,157,4,12,65,3,5,0,0,0,-,-,-,133
,196,S,311,ABE,52,0,0,0,35,6,6,42,8,7,14,3,3,57
,196,S,312,D,43,60,6,8,38,5,5,66,12,11,20,4,2,68
,197,L,71,ABF,77,21,6,6,35,7,11,-,-,-,-,-,-,460
,197,L,72,ABF,77,30,7,8,27,7,6,-,-,-,-,-,-,400
A=<22,B=20,C=#25,D=20,E=17
Sunday,03-June-2018,00:03,SS,10,-,PL,4.2,PV,3.2,CL,60,+0,RL,60,SA,136,DS,149
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,37,25,3,3,15,2,2,17,3,2,-,-,-,27
,354,S,31,B,16,24,2,1,15,2,1,0,0,0,-,-,-,19
,182,S,34,A,41,14,2,2,33,4,5,-,-,-,-,-,-,30
