Strategic,Monitor,On,Thursday,07-June-2018,filename:CCITY_20180607

Thursday,07-June-2018,00:00,SS,28M+,PL,1.3,PV,8.3,CL,60,+0,RL,44,SA,47,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,21,58,4,5,50,3,4,-,-,-,-,-,-,29
,48,S,90,A,21,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,17
,48,S,213,A,21,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,21,58,4,5,50,3,4,-,-,-,-,-,-,300
,48,L,49,A,21,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<15,B=48,C=#22
Thursday,07-June-2018,00:00,SS,23M+,PL,4.2,PV,4.2,CL,100,+0,RL,61,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,43,20,5,4,26,5,5,9,2,2,-,-,-,43
,152,S,131,A,43,42,7,6,34,7,5,-,-,-,-,-,-,41
,152,S,132,C,21,49,3,3,41,3,3,28,4,2,-,-,-,65
,193,L,57,ABCE,60,11,3,3,43,8,9,57,12,12,-,-,-,640
,193,L,58,AE,38,27,3,3,62,7,9,41,5,6,-,-,-,480
A=<66,B=1,C=34,D=1
Thursday,07-June-2018,00:00,SS,10,+,PL,3.2,PV,3.2,CL,72,+6,RL,72,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,11,4,2,11,4,3,7,3,1,-,-,-,15
,354,S,31,B,17,0,0,0,22,3,1,0,0,0,-,-,-,24
,182,S,34,A,60,11,3,2,20,5,4,-,-,-,-,-,-,15
A=<53,B=47
Thursday,07-June-2018,00:00,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,59,0,0,0,-,-,-,-,-,-,-,-,-,9
,145,S,10,C,18,37,4,3,0,0,0,0,0,0,-,-,-,25
,145,S,133,AB,66,5,2,2,11,3,2,-,-,-,-,-,-,9
,145,S,204,AB,66,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,66,5,2,2,11,3,2,-,-,-,-,-,-,9
,145,S,212,AC,59,0,0,0,-,-,-,-,-,-,-,-,-,9
,145,L,4,AB,66,5,2,2,11,3,2,-,-,-,-,-,-,180
A=<33,B=#23,C=40
Thursday,07-June-2018,00:01,SS,28M+,PL,8.3,PV,8.4,CL,60,+0,RL,60,SA,47,DS,64
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,24,56,4,5,60,4,5,-,-,-,-,-,-,46
,48,S,90,A,24,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,8
,48,S,213,A,24,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,24,56,4,5,60,4,5,-,-,-,-,-,-,440
,48,L,49,A,24,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<35,B=28,C=#22
Thursday,07-June-2018,00:01,SS,10,-,PL,3.2,PV,4.2,CL,63,+0,RL,63,SA,30,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,20,4,4,20,4,4,0,0,0,-,-,-,16
,354,S,31,B,21,32,4,2,23,4,2,0,0,0,-,-,-,27
,182,S,34,A,50,0,0,0,8,2,1,-,-,-,-,-,-,12
A=<53,B=47
Thursday,07-June-2018,00:02,SS,23M+,PL,2.2,PV,2.3,CL,100,+0,RL,75,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,35,60,11,10,83,10,13,38,7,6,-,-,-,58
,152,S,131,A,35,45,6,5,49,6,6,-,-,-,-,-,-,46
,152,S,132,C,18,0,0,0,27,3,2,16,2,1,-,-,-,45
,193,L,57,ABCE,58,9,3,2,47,8,9,40,6,8,-,-,-,740
