Strategic,Monitor,On,Saturday,09-June-2018,filename:CCITY_20180609

Saturday,09-June-2018,00:00,SS,10M-,PL,3.2,PV,2.2,CL,87,+0,RL,70,SA,56,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,49,42,8,7,27,4,4,0,0,0,-,-,-,41
,354,S,31,B,20,14,2,1,11,2,1,14,2,1,-,-,-,21
,182,S,34,A,49,0,0,0,8,2,1,-,-,-,-,-,-,17
A=<53,B=47
Saturday,09-June-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,31,5,5,31,6,5,31,5,6,18,2,3,37
,183,S,21,B,34,55,8,6,48,6,6,25,3,3,-,-,-,49
,184,S,161,A,75,15,5,4,26,8,7,20,7,6,12,3,3,32
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,7
,183,S,183,B,34,55,8,6,48,6,6,-,-,-,-,-,-,49
,183,L,7,AC,52,31,5,5,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Saturday,09-June-2018,00:00,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,27,9,8,7,2,2,19,7,6,0,0,0,25
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,9
A=<72,B=#24
Saturday,09-June-2018,00:01,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,137
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,101,-,-,-,35,12,10,10,4,3,-,-,-,36
,196,S,310,A,53,52,6,8,88,11,13,99,5,15,-,-,-,137
,196,S,311,ABE,53,36,2,8,48,7,8,75,13,14,46,9,9,63
,196,S,312,D,38,87,8,10,32,4,4,44,6,6,0,0,0,110
,197,L,71,ABF,45,53,9,8,83,12,14,-,-,-,-,-,-,500
,197,L,72,ABF,45,77,12,12,74,10,10,-,-,-,-,-,-,560
A=<22,B=20,C=#25,D=20,E=17
Saturday,09-June-2018,00:01,SS,10,-,PL,4.2,PV,4.2,CL,89,+0,RL,70,SA,30,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,54,33,8,6,26,7,5,25,6,4,-,-,-,40
,354,S,31,B,19,29,3,2,34,3,3,0,0,0,-,-,-,27
,182,S,34,A,51,40,6,6,47,7,8,-,-,-,-,-,-,31
A=<47,B=53
Saturday,09-June-2018,00:02,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,15,DS,125
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,31,5,5,31,6,5,31,5,6,18,2,3,32
,183,S,21,B,34,55,8,6,48,6,6,25,3,3,-,-,-,57
,184,S,161,A,75,22,6,5,44,10,11,33,8,10,7,2,2,35
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,5
,183,S,183,B,34,55,8,6,48,6,6,-,-,-,-,-,-,57
,183,L,7,AC,52,31,5,5,-,-,-,-,-,-,-,-,-,160
A=<29,B=48,C=#20
Saturday,09-June-2018,00:02,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,59
