Strategic,Monitor,On,Monday,11-June-2018,filename:CCITY_20180611

Monday,11-June-2018,00:00,SS,85M+,PL,7.3,PV,7.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,91,-,-,-,32,10,8,7,3,2,-,-,-,21
,196,S,310,A,49,45,6,6,54,6,8,40,4,6,-,-,-,66
,196,S,311,ABE,49,0,0,0,8,2,1,0,0,0,13,2,2,23
,196,S,312,D,29,23,2,2,60,3,6,69,6,8,0,0,0,53
,197,L,71,ABF,46,41,7,6,36,8,6,-,-,-,-,-,-,420
,197,L,72,ABF,46,8,2,1,0,0,0,-,-,-,-,-,-,160
A=<16,B=20,C=#25,D=22,E=17
Monday,11-June-2018,00:00,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,136,DS,113
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,32,30,5,3,24,4,2,15,3,1,-,-,-,29
,354,S,31,B,16,22,2,1,25,3,2,0,0,0,-,-,-,17
,182,S,34,A,50,0,0,0,8,2,1,-,-,-,-,-,-,21
A=<47,B=53
Monday,11-June-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,22,5,4,0,0,0,17,5,4,0,0,0,27
,183,S,21,B,28,11,2,1,40,5,4,0,0,0,-,-,-,45
,184,S,161,A,85,15,5,4,16,5,5,10,4,3,0,0,0,23
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,28,11,2,1,40,5,4,-,-,-,-,-,-,45
,183,L,7,AC,55,22,5,4,-,-,-,-,-,-,-,-,-,160
A=<29,B=48,C=#20
Monday,11-June-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,10,4,3,0,0,0,20,8,7,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,11-June-2018,00:01,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,49,5,2,1,5,2,1,7,3,1,-,-,-,20
,354,S,31,B,15,15,2,1,21,2,1,0,0,0,-,-,-,18
,182,S,34,A,50,16,3,3,16,3,3,-,-,-,-,-,-,19
A=<53,B=47
Monday,11-June-2018,00:02,SS,85M+,PL,7.3,PV,6.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,56,-,-,-,24,4,4,7,2,1,-,-,-,23
,196,S,310,A,46,53,7,7,41,6,5,10,2,1,-,-,-,58
,196,S,311,ABE,46,14,2,3,22,3,3,20,4,3,0,0,0,23
,196,S,312,D,31,38,3,4,21,2,2,55,6,6,0,0,0,58
,197,L,71,ABF,51,24,6,4,25,7,5,-,-,-,-,-,-,420
,197,L,72,ABF,51,10,3,2,13,3,2,-,-,-,-,-,-,140
A=<16,B=20,C=#25,D=22,E=17
Monday,11-June-2018,00:02,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,19,4,3,12,2,2,7,2,1,0,0,0,20
,183,S,21,B,25,25,4,2,20,3,2,0,0,0,-,-,-,39
,184,S,161,A,85,12,4,3,16,5,5,8,3,3,0,0,0,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,25,25,4,2,20,3,2,-,-,-,-,-,-,39
,183,L,7,AC,55,19,4,3,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Monday,11-June-2018,00:02,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,11,4,4,0,0,0,10,4,4,0,0,0,16
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,11-June-2018,00:02,SS,10,-,PL,3.2,PV,2.2,CL,60,+0,RL,60,SA,30,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,40,27,4,3,14,3,2,12,2,1,-,-,-,21
,354,S,31,B,14,0,0,0,14,2,1,0,0,0,-,-,-,19
,182,S,34,A,50,16,3,3,16,3,3,-,-,-,-,-,-,14
A=<53,B=47
Monday,11-June-2018,00:03,SS,10,-,PL,4.2,PV,4.2,CL,60,-5,RL,60,SA,30,DS,9
