Strategic,Monitor,On,Wednesday,13-June-2018,filename:CCITY_20180613

Wednesday,13-June-2018,00:00,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,47,-,-,-,8,2,1,0,0,0,-,-,-,10
,196,S,310,A,23,0,0,0,67,4,4,46,3,3,-,-,-,53
,196,S,311,ABE,45,7,2,1,38,7,6,20,4,3,26,5,4,31
,196,S,312,D,32,47,4,5,13,2,1,47,6,6,14,2,1,37
,197,L,71,ABF,61,22,6,5,35,6,8,-,-,-,-,-,-,380
,197,L,72,ABF,61,37,8,7,29,5,6,-,-,-,-,-,-,380
A=<14,B=20,C=#25,D=24,E=17
Wednesday,13-June-2018,00:00,SS,6M+,PL,4.3,PV,8.3,CL,88,+0,RL,86,SA,20,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,16,3,3,32,7,6,25,7,6,12,3,3,31
,183,S,21,B,27,10,2,1,32,3,3,0,0,0,-,-,-,33
,184,S,161,A,85,10,3,3,24,7,7,23,10,8,5,2,1,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,10,2,1,32,3,3,-,-,-,-,-,-,33
,183,L,7,AC,58,16,3,3,-,-,-,-,-,-,-,-,-,80
A=<33,B=44,C=#20
Wednesday,13-June-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,88,+0,RL,69,SA,201,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,86,13,5,4,9,3,2,13,6,5,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Wednesday,13-June-2018,00:00,SS,10,-,PL,2.2,PV,2.2,CL,60,+4,RL,60,SA,30,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,73,9,3,2,6,2,1,6,2,1,-,-,-,14
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,22
,182,S,34,A,74,10,2,2,0,0,0,-,-,-,-,-,-,12
A=<60,B=40
Wednesday,13-June-2018,00:01,SS,85M+,PL,5.3,PV,8.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,105,-,-,-,17,7,5,6,2,2,-,-,-,13
,196,S,310,A,39,82,8,9,114,10,13,62,5,7,-,-,-,84
,196,S,311,ABE,39,0,0,0,44,5,6,41,5,6,0,0,0,37
,196,S,312,D,26,33,3,3,19,2,2,33,5,3,11,2,1,35
,197,L,71,ABF,33,89,10,10,76,11,10,-,-,-,-,-,-,540
,197,L,72,ABF,33,38,3,4,18,2,2,-,-,-,-,-,-,300
A=<14,B=20,C=#25,D=24,E=17
Wednesday,13-June-2018,00:01,SS,10,-,PL,2.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,26,22,3,2,21,3,2,0,0,0,-,-,-,16
,354,S,31,B,17,24,2,1,23,2,2,20,2,1,-,-,-,18
,182,S,34,A,74,0,0,0,14,4,4,-,-,-,-,-,-,12
A=<60,B=40
Wednesday,13-June-2018,00:02,SS,6M+,PL,4.3,PV,4.3,CL,100,+1,RL,86,SA,20,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,17,4,3,12,3,2,9,3,2,6,2,1,26
,183,S,21,B,30,27,5,3,24,3,3,18,3,2,-,-,-,32
,184,S,161,A,85,15,5,4,21,7,6,18,8,6,6,2,2,22
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,27,5,3,24,3,3,-,-,-,-,-,-,32
,183,L,7,AC,59,17,4,3,-,-,-,-,-,-,-,-,-,100
A=<36,B=44,C=#20
Wednesday,13-June-2018,00:02,SS,58M+,PL,1.3,PV,4.3,CL,100,+0,RL,70,SA,201,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,83,15,6,5,0,0,0,10,5,4,0,0,0,16
,288,S,270,B,11,0,0,0,24,2,1,-,-,-,-,-,-,11
A=<81,B=#19
Wednesday,13-June-2018,00:02,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,47,18,3,3,16,3,2,21,5,3,-,-,-,19
,354,S,31,B,19,29,3,2,47,4,4,0,0,0,-,-,-,29
,182,S,34,A,74,0,0,0,14,4,4,-,-,-,-,-,-,13
A=<47,B=53
